Year,Units,Регионы,Пол,Местность,Возраст,GeoCode,Value
2016,процент,Восточно-Казахстанская,,,,KZ15,4.9
2017,процент,Восточно-Казахстанская,,,,KZ15,4.8
2018,процент,Восточно-Казахстанская,,,,KZ15,4.8
2010,процент,г.Нур-Султан,,,,KZ05,6.2
2011,процент,г.Нур-Султан,,,,KZ05,5.8
2012,процент,г.Нур-Султан,,,,KZ05,5.7
2013,процент,г.Нур-Султан,,,,KZ05,5.5
2014,процент,г.Нур-Султан,,,,KZ05,5.1
2015,процент,г.Нур-Султан,,,,KZ05,4.7
2016,процент,г.Нур-Султан,,,,KZ05,4.6
2017,процент,г.Нур-Султан,,,,KZ05,4.6
2018,процент,г.Нур-Султан,,,,KZ05,4.5
2010,процент,г.Алматы,,,,KZ02,6.3
2011,процент,г.Алматы,,,,KZ02,5.6
2012,процент,г.Алматы,,,,KZ02,5.6
2013,процент,г.Алматы,,,,KZ02,5.6
2014,процент,г.Алматы,,,,KZ02,5.5
2015,процент,г.Алматы,,,,KZ02,5.3
2016,процент,г.Алматы,,,,KZ02,5.3
2017,процент,г.Алматы,,,,KZ02,5.3
2018,процент,г.Алматы,,,,KZ02,5.2
2018,процент,г.Шымкент,,,,KZ18,5.2
2010,процент,,мужчины,,,,4.9
2011,процент,,мужчины,,,,4.6
2012,процент,,мужчины,,,,4.1
2013,процент,,мужчины,,,,4.6
2014,процент,,мужчины,,,,4.3
2015,процент,,мужчины,,,,4.4
2016,процент,,мужчины,,,,4.4
2017,процент,,мужчины,,,,4.4
2018,процент,,мужчины,,,,4.3
2010,процент,Акмолинская,мужчины,,,KZ03,6.1
2011,процент,Акмолинская,мужчины,,,KZ03,5.3
2012,процент,Акмолинская,мужчины,,,KZ03,4.0
2013,процент,Акмолинская,мужчины,,,KZ03,4.7
2014,процент,Акмолинская,мужчины,,,KZ03,4.6
2015,процент,Акмолинская,мужчины,,,KZ03,5.0
2016,процент,Акмолинская,мужчины,,,KZ03,5.2
2017,процент,Акмолинская,мужчины,,,KZ03,5.0
2018,процент,Акмолинская,мужчины,,,KZ03,4.8
2010,процент,Актюбинская,мужчины,,,KZ04,2.9
2011,процент,Актюбинская,мужчины,,,KZ04,3.5
2012,процент,Актюбинская,мужчины,,,KZ04,2.9
2013,процент,Актюбинская,мужчины,,,KZ04,3.3
2014,процент,Актюбинская,мужчины,,,KZ04,3.8
2015,процент,Актюбинская,мужчины,,,KZ04,4.3
2016,процент,Актюбинская,мужчины,,,KZ04,4.8
2017,процент,Актюбинская,мужчины,,,KZ04,4.8
2018,процент,Актюбинская,мужчины,,,KZ04,4.6
2010,процент,Алматинская,мужчины,,,KZ01,5.3
2011,процент,Алматинская,мужчины,,,KZ01,5.1
2012,процент,Алматинская,мужчины,,,KZ01,3.6
2013,процент,Алматинская,мужчины,,,KZ01,5.9
2014,процент,Алматинская,мужчины,,,KZ01,4.0
2015,процент,Алматинская,мужчины,,,KZ01,4.0
2016,процент,Алматинская,мужчины,,,KZ01,3.8
2017,процент,Алматинская,мужчины,,,KZ01,3.5
2018,процент,Алматинская,мужчины,,,KZ01,3.2
2010,процент,Атырауская,мужчины,,,KZ06,3.9
2011,процент,Атырауская,мужчины,,,KZ06,4.2
2012,процент,Атырауская,мужчины,,,KZ06,3.9
2013,процент,Атырауская,мужчины,,,KZ06,4.7
2014,процент,Атырауская,мужчины,,,KZ06,5.2
2015,процент,Атырауская,мужчины,,,KZ06,5.4
2016,процент,Атырауская,мужчины,,,KZ06,4.8
2017,процент,Атырауская,мужчины,,,KZ06,4.9
2018,процент,Атырауская,мужчины,,,KZ06,4.9
2010,процент,Западно-Казахстанская,мужчины,,,KZ07,4.7
2011,процент,Западно-Казахстанская,мужчины,,,KZ07,4.9
2012,процент,Западно-Казахстанская,мужчины,,,KZ07,5.2
2013,процент,Западно-Казахстанская,мужчины,,,KZ07,4.2
2014,процент,Западно-Казахстанская,мужчины,,,KZ07,4.5
2015,процент,Западно-Казахстанская,мужчины,,,KZ07,4.3
2016,процент,Западно-Казахстанская,мужчины,,,KZ07,4.6
2017,процент,Западно-Казахстанская,мужчины,,,KZ07,4.5
2018,процент,Западно-Казахстанская,мужчины,,,KZ07,4.5
2010,процент,Жамбылская,мужчины,,,KZ17,5.5
2011,процент,Жамбылская,мужчины,,,KZ17,4.9
2012,процент,Жамбылская,мужчины,,,KZ17,5.3
2013,процент,Жамбылская,мужчины,,,KZ17,5.1
2014,процент,Жамбылская,мужчины,,,KZ17,4.0
2015,процент,Жамбылская,мужчины,,,KZ17,4.1
2016,процент,Жамбылская,мужчины,,,KZ17,4.0
2017,процент,Жамбылская,мужчины,,,KZ17,4.5
2018,процент,Жамбылская,мужчины,,,KZ17,4.8
2010,процент,Карагандинская,мужчины,,,KZ12,4.5
2011,процент,Карагандинская,мужчины,,,KZ12,3.7
2012,процент,Карагандинская,мужчины,,,KZ12,3.7
2013,процент,Карагандинская,мужчины,,,KZ12,4.8
2014,процент,Карагандинская,мужчины,,,KZ12,3.6
2015,процент,Карагандинская,мужчины,,,KZ12,3.8
2016,процент,Карагандинская,мужчины,,,KZ12,4.2
2017,процент,Карагандинская,мужчины,,,KZ12,4.0
2018,процент,Карагандинская,мужчины,,,KZ12,3.4
2010,процент,Костанайская,мужчины,,,KZ13,5.2
2011,процент,Костанайская,мужчины,,,KZ13,4.8
2012,процент,Костанайская,мужчины,,,KZ13,4.2
2013,процент,Костанайская,мужчины,,,KZ13,4.4
2014,процент,Костанайская,мужчины,,,KZ13,5.1
2015,процент,Костанайская,мужчины,,,KZ13,4.5
2016,процент,Костанайская,мужчины,,,KZ13,4.8
2017,процент,Костанайская,мужчины,,,KZ13,4.6
2018,процент,Костанайская,мужчины,,,KZ13,4.7
2010,процент,Кызылординская,мужчины,,,KZ14,5.7
2011,процент,Кызылординская,мужчины,,,KZ14,5.2
2012,процент,Кызылординская,мужчины,,,KZ14,4.0
2013,процент,Кызылординская,мужчины,,,KZ14,4.1
2014,процент,Кызылординская,мужчины,,,KZ14,4.5
2015,процент,Кызылординская,мужчины,,,KZ14,4.7
2016,процент,Кызылординская,мужчины,,,KZ14,4.4
2017,процент,Кызылординская,мужчины,,,KZ14,4.6
2018,процент,Кызылординская,мужчины,,,KZ14,4.7
2010,процент,Мангистауская,мужчины,,,KZ09,5.9
2011,процент,Мангистауская,мужчины,,,KZ09,5.4
2012,процент,Мангистауская,мужчины,,,KZ09,5.0
2013,процент,Мангистауская,мужчины,,,KZ09,2.7
2014,процент,Мангистауская,мужчины,,,KZ09,3.9
2015,процент,Мангистауская,мужчины,,,KZ09,2.6
2016,процент,Мангистауская,мужчины,,,KZ09,2.7
2017,процент,Мангистауская,мужчины,,,KZ09,3.0
2018,процент,Мангистауская,мужчины,,,KZ09,2.8
2010,процент,Южно-Казахстанская,мужчины,,,KZ10,4.8
2011,процент,Южно-Казахстанская,мужчины,,,KZ10,5.1
2012,процент,Южно-Казахстанская,мужчины,,,KZ10,4.4
2013,процент,Южно-Казахстанская,мужчины,,,KZ10,3.9
2014,процент,Южно-Казахстанская,мужчины,,,KZ10,4.5
2015,процент,Южно-Казахстанская,мужчины,,,KZ10,4.7
2016,процент,Южно-Казахстанская,мужчины,,,KZ10,4.4
2017,процент,Южно-Казахстанская,мужчины,,,KZ10,4.6
2010,процент,Павлодарская,мужчины,,,KZ11,4.6
2011,процент,Павлодарская,мужчины,,,KZ11,4.4
2012,процент,Павлодарская,мужчины,,,KZ11,4.1
2013,процент,Павлодарская,мужчины,,,KZ11,4.2
2014,процент,Павлодарская,мужчины,,,KZ11,4.5
2015,процент,Павлодарская,мужчины,,,KZ11,4.7
2016,процент,Павлодарская,мужчины,,,KZ11,4.6
2017,процент,Павлодарская,мужчины,,,KZ11,4.7
2018,процент,Павлодарская,мужчины,,,KZ11,4.7
2010,процент,Северо-Казахстанская,мужчины,,,KZ16,6.1
2011,процент,Северо-Казахстанская,мужчины,,,KZ16,5.3
2012,процент,Северо-Казахстанская,мужчины,,,KZ16,4.1
2013,процент,Северо-Казахстанская,мужчины,,,KZ16,5.1
2014,процент,Северо-Казахстанская,мужчины,,,KZ16,4.9
2015,процент,Северо-Казахстанская,мужчины,,,KZ16,4.4
2016,процент,Северо-Казахстанская,мужчины,,,KZ16,5.0
2017,процент,Северо-Казахстанская,мужчины,,,KZ16,5.3
2018,процент,Северо-Казахстанская,мужчины,,,KZ16,5.0
2018,процент,Туркестанская,мужчины,,,KZ10,4.6
2010,процент,Восточно-Казахстанская,мужчины,,,KZ15,4.9
2011,процент,Восточно-Казахстанская,мужчины,,,KZ15,3.7
2012,процент,Восточно-Казахстанская,мужчины,,,KZ15,4.5
2013,процент,Восточно-Казахстанская,мужчины,,,KZ15,4.7
2014,процент,Восточно-Казахстанская,мужчины,,,KZ15,3.3
2015,процент,Восточно-Казахстанская,мужчины,,,KZ15,4.3
2016,процент,Восточно-Казахстанская,мужчины,,,KZ15,4.2
2017,процент,Восточно-Казахстанская,мужчины,,,KZ15,4.7
2018,процент,Восточно-Казахстанская,мужчины,,,KZ15,4.7
2010,процент,г.Нур-Султан,мужчины,,,KZ05,2.9
2011,процент,г.Нур-Султан,мужчины,,,KZ05,4.0
2012,процент,г.Нур-Султан,мужчины,,,KZ05,5.5
2013,процент,г.Нур-Султан,мужчины,,,KZ05,4.7
2014,процент,г.Нур-Султан,мужчины,,,KZ05,5.0
2015,процент,г.Нур-Султан,мужчины,,,KZ05,4.1
2016,процент,г.Нур-Султан,мужчины,,,KZ05,4.4
2017,процент,г.Нур-Султан,мужчины,,,KZ05,4.6
2018,процент,г.Нур-Султан,мужчины,,,KZ05,4.4
2010,процент,г.Алматы,мужчины,,,KZ02,5.5
2011,процент,г.Алматы,мужчины,,,KZ02,4.4
2012,процент,г.Алматы,мужчины,,,KZ02,3.0
2013,процент,г.Алматы,мужчины,,,KZ02,4.7
2014,процент,г.Алматы,мужчины,,,KZ02,4.5
2015,процент,г.Алматы,мужчины,,,KZ02,4.8
2016,процент,г.Алматы,мужчины,,,KZ02,4.9
2017,процент,г.Алматы,мужчины,,,KZ02,4.2
2018,процент,г.Алматы,мужчины,,,KZ02,4.1
2018,процент,г.Шымкент,мужчины,,,KZ18,5.5
2010,процент,,женщины,,,,6.6
2011,процент,,женщины,,,,6.2
2012,процент,,женщины,,,,6.5
2013,процент,,женщины,,,,5.9
2014,процент,,женщины,,,,5.8
2015,процент,,женщины,,,,5.9
2016,процент,,женщины,,,,5.5
2017,процент,,женщины,,,,5.4
2018,процент,,женщины,,,,5.4
2010,процент,Акмолинская,женщины,,,KZ03,5.5
2011,процент,Акмолинская,женщины,,,KZ03,5.6
2012,процент,Акмолинская,женщины,,,KZ03,6.6
2013,процент,Акмолинская,женщины,,,KZ03,5.6
2014,процент,Акмолинская,женщины,,,KZ03,5.3
2015,процент,Акмолинская,женщины,,,KZ03,5.1
2016,процент,Акмолинская,женщины,,,KZ03,4.6
2017,процент,Акмолинская,женщины,,,KZ03,4.6
2018,процент,Акмолинская,женщины,,,KZ03,4.7
2010,процент,Актюбинская,женщины,,,KZ04,7.7
2011,процент,Актюбинская,женщины,,,KZ04,6.2
2012,процент,Актюбинская,женщины,,,KZ04,6.9
2013,процент,Актюбинская,женщины,,,KZ04,6.6
2014,процент,Актюбинская,женщины,,,KZ04,6.0
2015,процент,Актюбинская,женщины,,,KZ04,6.0
2016,процент,Актюбинская,женщины,,,KZ04,4.9
2017,процент,Актюбинская,женщины,,,KZ04,4.8
2018,процент,Актюбинская,женщины,,,KZ04,5.0
2010,процент,Алматинская,женщины,,,KZ01,6.0
2011,процент,Алматинская,женщины,,,KZ01,5.0
2012,процент,Алматинская,женщины,,,KZ01,6.5
2013,процент,Алматинская,женщины,,,KZ01,3.9
2014,процент,Алматинская,женщины,,,KZ01,5.9
2015,процент,Алматинская,женщины,,,KZ01,6.1
2016,процент,Алматинская,женщины,,,KZ01,5.8
2017,процент,Алматинская,женщины,,,KZ01,6.0
2018,процент,Алматинская,женщины,,,KZ01,6.2
2010,процент,Атырауская,женщины,,,KZ06,7.0
2011,процент,Атырауская,женщины,,,KZ06,5.9
2012,процент,Атырауская,женщины,,,KZ06,6.1
2013,процент,Атырауская,женщины,,,KZ06,5.3
2014,процент,Атырауская,женщины,,,KZ06,4.9
2015,процент,Атырауская,женщины,,,KZ06,4.7
2016,процент,Атырауская,женщины,,,KZ06,5.1
2017,процент,Атырауская,женщины,,,KZ06,5.0
2018,процент,Атырауская,женщины,,,KZ06,4.9
2010,процент,Западно-Казахстанская,женщины,,,KZ07,6.6
2011,процент,Западно-Казахстанская,женщины,,,KZ07,5.8
2012,процент,Западно-Казахстанская,женщины,,,KZ07,5.1
2013,процент,Западно-Казахстанская,женщины,,,KZ07,6.0
2014,процент,Западно-Казахстанская,женщины,,,KZ07,5.6
2015,процент,Западно-Казахстанская,женщины,,,KZ07,6.0
2016,процент,Западно-Казахстанская,женщины,,,KZ07,5.2
2017,процент,Западно-Казахстанская,женщины,,,KZ07,5.3
2018,процент,Западно-Казахстанская,женщины,,,KZ07,5.3
2010,процент,Жамбылская,женщины,,,KZ17,5.9
2011,процент,Жамбылская,женщины,,,KZ17,6.1
2012,процент,Жамбылская,женщины,,,KZ17,5.6
2013,процент,Жамбылская,женщины,,,KZ17,5.3
2014,процент,Жамбылская,женщины,,,KZ17,5.9
2015,процент,Жамбылская,женщины,,,KZ17,6.1
2016,процент,Жамбылская,женщины,,,KZ17,5.8
2017,процент,Жамбылская,женщины,,,KZ17,5.3
2018,процент,Жамбылская,женщины,,,KZ17,5.0
2010,процент,Карагандинская,женщины,,,KZ12,6.4
2011,процент,Карагандинская,женщины,,,KZ12,6.8
2012,процент,Карагандинская,женщины,,,KZ12,6.6
2013,процент,Карагандинская,женщины,,,KZ12,5.2
2014,процент,Карагандинская,женщины,,,KZ12,6.2
2015,процент,Карагандинская,женщины,,,KZ12,6.9
2016,процент,Карагандинская,женщины,,,KZ12,5.8
2017,процент,Карагандинская,женщины,,,KZ12,5.6
2018,процент,Карагандинская,женщины,,,KZ12,5.9
2010,процент,Костанайская,женщины,,,KZ13,6.1
2011,процент,Костанайская,женщины,,,KZ13,5.9
2012,процент,Костанайская,женщины,,,KZ13,6.3
2013,процент,Костанайская,женщины,,,KZ13,5.9
2014,процент,Костанайская,женщины,,,KZ13,5.0
2015,процент,Костанайская,женщины,,,KZ13,5.7
2016,процент,Костанайская,женщины,,,KZ13,5.1
2017,процент,Костанайская,женщины,,,KZ13,5.1
2018,процент,Костанайская,женщины,,,KZ13,4.9
2010,процент,Кызылординская,женщины,,,KZ14,6.1
2011,процент,Кызылординская,женщины,,,KZ14,5.8
2012,процент,Кызылординская,женщины,,,KZ14,6.8
2013,процент,Кызылординская,женщины,,,KZ14,6.4
2014,процент,Кызылординская,женщины,,,KZ14,5.7
2015,процент,Кызылординская,женщины,,,KZ14,5.6
2016,процент,Кызылординская,женщины,,,KZ14,5.5
2017,процент,Кызылординская,женщины,,,KZ14,5.1
2018,процент,Кызылординская,женщины,,,KZ14,4.9
2010,процент,Мангистауская,женщины,,,KZ09,7.1
2011,процент,Мангистауская,женщины,,,KZ09,6.3
2012,процент,Мангистауская,женщины,,,KZ09,6.5
2013,процент,Мангистауская,женщины,,,KZ09,8.8
2014,процент,Мангистауская,женщины,,,KZ09,6.3
2015,процент,Мангистауская,женщины,,,KZ09,7.9
2016,процент,Мангистауская,женщины,,,KZ09,7.8
2017,процент,Мангистауская,женщины,,,KZ09,7.1
2018,процент,Мангистауская,женщины,,,KZ09,7.0
2010,процент,Южно-Казахстанская,женщины,,,KZ10,7.2
2011,процент,Южно-Казахстанская,женщины,,,KZ10,6.4
2012,процент,Южно-Казахстанская,женщины,,,KZ10,7.0
2013,процент,Южно-Казахстанская,женщины,,,KZ10,7.4
2014,процент,Южно-Казахстанская,женщины,,,KZ10,6.4
2015,процент,Южно-Казахстанская,женщины,,,KZ10,6.1
2016,процент,Южно-Казахстанская,женщины,,,KZ10,6.1
2017,процент,Южно-Казахстанская,женщины,,,KZ10,5.9
2010,процент,Павлодарская,женщины,,,KZ11,6.7
2011,процент,Павлодарская,женщины,,,KZ11,6.0
2012,процент,Павлодарская,женщины,,,KZ11,5.8
2013,процент,Павлодарская,женщины,,,KZ11,5.8
2014,процент,Павлодарская,женщины,,,KZ11,5.0
2015,процент,Павлодарская,женщины,,,KZ11,5.1
2016,процент,Павлодарская,женщины,,,KZ11,5.0
2017,процент,Павлодарская,женщины,,,KZ11,4.9
2018,процент,Павлодарская,женщины,,,KZ11,4.8
2010,процент,Северо-Казахстанская,женщины,,,KZ16,5.5
2011,процент,Северо-Казахстанская,женщины,,,KZ16,5.6
2012,процент,Северо-Казахстанская,женщины,,,KZ16,6.3
2013,процент,Северо-Казахстанская,женщины,,,KZ16,5.1
2014,процент,Северо-Казахстанская,женщины,,,KZ16,5.1
2015,процент,Северо-Казахстанская,женщины,,,KZ16,5.8
2016,процент,Северо-Казахстанская,женщины,,,KZ16,4.9
2017,процент,Северо-Казахстанская,женщины,,,KZ16,4.4
2018,процент,Северо-Казахстанская,женщины,,,KZ16,4.7
2018,процент,Туркестанская,женщины,,,KZ10,5.8
2010,процент,Восточно-Казахстанская,женщины,,,KZ15,6.5
2011,процент,Восточно-Казахстанская,женщины,,,KZ15,6.8
2012,процент,Восточно-Казахстанская,женщины,,,KZ15,5.7
2013,процент,Восточно-Казахстанская,женщины,,,KZ15,5.4
2014,процент,Восточно-Казахстанская,женщины,,,KZ15,6.3
2015,процент,Восточно-Казахстанская,женщины,,,KZ15,5.8
2016,процент,Восточно-Казахстанская,женщины,,,KZ15,5.6
2017,процент,Восточно-Казахстанская,женщины,,,KZ15,5.0
2018,процент,Восточно-Казахстанская,женщины,,,KZ15,5.0
2010,процент,г.Нур-Султан,женщины,,,KZ05,9.7
2011,процент,г.Нур-Султан,женщины,,,KZ05,7.8
2012,процент,г.Нур-Султан,женщины,,,KZ05,5.9
2013,процент,г.Нур-Султан,женщины,,,KZ05,6.3
2014,процент,г.Нур-Султан,женщины,,,KZ05,5.1
2015,процент,г.Нур-Султан,женщины,,,KZ05,5.3
2016,процент,г.Нур-Султан,женщины,,,KZ05,4.9
2017,процент,г.Нур-Султан,женщины,,,KZ05,4.6
2018,процент,г.Нур-Султан,женщины,,,KZ05,4.6
2010,процент,г.Алматы,женщины,,,KZ02,7.0
2011,процент,г.Алматы,женщины,,,KZ02,6.7
2012,процент,г.Алматы,женщины,,,KZ02,8.0
2013,процент,г.Алматы,женщины,,,KZ02,6.5
2014,процент,г.Алматы,женщины,,,KZ02,6.5
2015,процент,г.Алматы,женщины,,,KZ02,5.6
2016,процент,г.Алматы,женщины,,,KZ02,5.7
2017,процент,г.Алматы,женщины,,,KZ02,6.2
2018,процент,г.Алматы,женщины,,,KZ02,6.2
2018,процент,г.Шымкент,женщины,,,KZ18,4.9
2010,процент,,,городское население,,,6.2
2011,процент,,,городское население,,,5.8
2012,процент,,,городское население,,,5.6
2013,процент,,,городское население,,,5.4
2014,процент,,,городское население,,,5.2
2015,процент,,,городское население,,,5.0
2016,процент,,,городское население,,,5.1
2017,процент,,,городское население,,,5.2
2018,процент,,,городское население,,,4.9
2010,процент,Акмолинская,,городское население,,KZ03,5.7
2011,процент,Акмолинская,,городское население,,KZ03,5.2
2012,процент,Акмолинская,,городское население,,KZ03,4.8
2013,процент,Акмолинская,,городское население,,KZ03,4.8
2014,процент,Акмолинская,,городское население,,KZ03,4.6
2015,процент,Акмолинская,,городское население,,KZ03,4.5
2016,процент,Акмолинская,,городское население,,KZ03,4.4
2017,процент,Акмолинская,,городское население,,KZ03,4.5
2018,процент,Акмолинская,,городское население,,KZ03,4.4
2010,процент,Актюбинская,,городское население,,KZ04,5.4
2011,процент,Актюбинская,,городское население,,KZ04,4.7
2012,процент,Актюбинская,,городское население,,KZ04,5.4
2013,процент,Актюбинская,,городское население,,KZ04,5.4
2014,процент,Актюбинская,,городское население,,KZ04,5.1
2015,процент,Актюбинская,,городское население,,KZ04,4.9
2016,процент,Актюбинская,,городское население,,KZ04,5.1
2017,процент,Актюбинская,,городское население,,KZ04,5.0
2018,процент,Актюбинская,,городское население,,KZ04,4.7
2010,процент,Алматинская,,городское население,,KZ01,5.6
2011,процент,Алматинская,,городское население,,KZ01,6.0
2012,процент,Алматинская,,городское население,,KZ01,4.4
2013,процент,Алматинская,,городское население,,KZ01,4.7
2014,процент,Алматинская,,городское население,,KZ01,5.0
2015,процент,Алматинская,,городское население,,KZ01,5.0
2016,процент,Алматинская,,городское население,,KZ01,4.8
2017,процент,Алматинская,,городское население,,KZ01,4.3
2018,процент,Алматинская,,городское население,,KZ01,5.2
2010,процент,Атырауская,,городское население,,KZ06,6.1
2011,процент,Атырауская,,городское население,,KZ06,5.2
2012,процент,Атырауская,,городское население,,KZ06,4.4
2013,процент,Атырауская,,городское население,,KZ06,4.7
2014,процент,Атырауская,,городское население,,KZ06,4.4
2015,процент,Атырауская,,городское население,,KZ06,4.1
2016,процент,Атырауская,,городское население,,KZ06,5.9
2017,процент,Атырауская,,городское население,,KZ06,5.0
