Year,Units,Регионы,Пол,Местность,Возраст,GeoCode,Value
2013,процент,Актюбинская,мужчины,,,KZ04,7.7
2014,процент,Актюбинская,мужчины,,,KZ04,8.0
2015,процент,Актюбинская,мужчины,,,KZ04,8.2
2016,процент,Актюбинская,мужчины,,,KZ04,8.9
2017,процент,Актюбинская,мужчины,,,KZ04,9.6
2018,процент,Актюбинская,мужчины,,,KZ04,9.8
2010,процент,Алматинская,мужчины,,,KZ01,5.8
2011,процент,Алматинская,мужчины,,,KZ01,4.6
2012,процент,Алматинская,мужчины,,,KZ01,4.3
2013,процент,Алматинская,мужчины,,,KZ01,4.1
2014,процент,Алматинская,мужчины,,,KZ01,4.8
2015,процент,Алматинская,мужчины,,,KZ01,5.5
2016,процент,Алматинская,мужчины,,,KZ01,5.2
2017,процент,Алматинская,мужчины,,,KZ01,6.7
2018,процент,Алматинская,мужчины,,,KZ01,6.7
2010,процент,Атырауская,мужчины,,,KZ06,4.7
2011,процент,Атырауская,мужчины,,,KZ06,4.0
2012,процент,Атырауская,мужчины,,,KZ06,7.3
2013,процент,Атырауская,мужчины,,,KZ06,7.9
2014,процент,Атырауская,мужчины,,,KZ06,4.8
2015,процент,Атырауская,мужчины,,,KZ06,6.3
2016,процент,Атырауская,мужчины,,,KZ06,4.7
2017,процент,Атырауская,мужчины,,,KZ06,3.2
2018,процент,Атырауская,мужчины,,,KZ06,4.3
2010,процент,Западно-Казахстанская,мужчины,,,KZ07,4.1
2011,процент,Западно-Казахстанская,мужчины,,,KZ07,4.2
2012,процент,Западно-Казахстанская,мужчины,,,KZ07,4.8
2013,процент,Западно-Казахстанская,мужчины,,,KZ07,5.2
2014,процент,Западно-Казахстанская,мужчины,,,KZ07,6.0
2015,процент,Западно-Казахстанская,мужчины,,,KZ07,5.7
2016,процент,Западно-Казахстанская,мужчины,,,KZ07,5.8
2017,процент,Западно-Казахстанская,мужчины,,,KZ07,5.4
2018,процент,Западно-Казахстанская,мужчины,,,KZ07,5.6
2010,процент,Жамбылская,мужчины,,,KZ17,5.1
2011,процент,Жамбылская,мужчины,,,KZ17,5.4
2012,процент,Жамбылская,мужчины,,,KZ17,4.6
2013,процент,Жамбылская,мужчины,,,KZ17,4.2
2014,процент,Жамбылская,мужчины,,,KZ17,4.7
2015,процент,Жамбылская,мужчины,,,KZ17,4.9
2016,процент,Жамбылская,мужчины,,,KZ17,4.7
2017,процент,Жамбылская,мужчины,,,KZ17,6.5
2018,процент,Жамбылская,мужчины,,,KZ17,7.1
2010,процент,Карагандинская,мужчины,,,KZ12,27.0
2011,процент,Карагандинская,мужчины,,,KZ12,25.5
2012,процент,Карагандинская,мужчины,,,KZ12,22.8
2013,процент,Карагандинская,мужчины,,,KZ12,21.9
2014,процент,Карагандинская,мужчины,,,KZ12,18.3
2015,процент,Карагандинская,мужчины,,,KZ12,17.8
2016,процент,Карагандинская,мужчины,,,KZ12,17.4
2017,процент,Карагандинская,мужчины,,,KZ12,17.6
2018,процент,Карагандинская,мужчины,,,KZ12,17.4
2010,процент,Костанайская,мужчины,,,KZ13,4.8
2011,процент,Костанайская,мужчины,,,KZ13,5.0
2012,процент,Костанайская,мужчины,,,KZ13,5.1
2013,процент,Костанайская,мужчины,,,KZ13,5.1
2014,процент,Костанайская,мужчины,,,KZ13,4.8
2015,процент,Костанайская,мужчины,,,KZ13,5.1
2016,процент,Костанайская,мужчины,,,KZ13,5.1
2017,процент,Костанайская,мужчины,,,KZ13,6.0
2018,процент,Костанайская,мужчины,,,KZ13,6.2
2010,процент,Кызылординская,мужчины,,,KZ14,4.0
2011,процент,Кызылординская,мужчины,,,KZ14,4.0
2012,процент,Кызылординская,мужчины,,,KZ14,3.9
2013,процент,Кызылординская,мужчины,,,KZ14,3.0
2014,процент,Кызылординская,мужчины,,,KZ14,2.7
2015,процент,Кызылординская,мужчины,,,KZ14,2.5
2016,процент,Кызылординская,мужчины,,,KZ14,3.9
2017,процент,Кызылординская,мужчины,,,KZ14,3.6
2018,процент,Кызылординская,мужчины,,,KZ14,4.4
2010,процент,Мангистауская,мужчины,,,KZ09,4.2
2011,процент,Мангистауская,мужчины,,,KZ09,7.7
2012,процент,Мангистауская,мужчины,,,KZ09,5.4
2013,процент,Мангистауская,мужчины,,,KZ09,7.1
2014,процент,Мангистауская,мужчины,,,KZ09,7.3
2015,процент,Мангистауская,мужчины,,,KZ09,7.4
2016,процент,Мангистауская,мужчины,,,KZ09,8.4
2017,процент,Мангистауская,мужчины,,,KZ09,8.1
2018,процент,Мангистауская,мужчины,,,KZ09,6.8
2010,процент,Южно-Казахстанская,мужчины,,,KZ10,4.5
2011,процент,Южно-Казахстанская,мужчины,,,KZ10,3.4
2012,процент,Южно-Казахстанская,мужчины,,,KZ10,3.0
2013,процент,Южно-Казахстанская,мужчины,,,KZ10,3.4
2014,процент,Южно-Казахстанская,мужчины,,,KZ10,4.7
2015,процент,Южно-Казахстанская,мужчины,,,KZ10,4.1
2016,процент,Южно-Казахстанская,мужчины,,,KZ10,4.0
2017,процент,Южно-Казахстанская,мужчины,,,KZ10,4.4
2010,процент,Павлодарская,мужчины,,,KZ11,15.9
2011,процент,Павлодарская,мужчины,,,KZ11,16.3
2012,процент,Павлодарская,мужчины,,,KZ11,17.7
2013,процент,Павлодарская,мужчины,,,KZ11,18.5
2014,процент,Павлодарская,мужчины,,,KZ11,18.9
2015,процент,Павлодарская,мужчины,,,KZ11,20.5
2016,процент,Павлодарская,мужчины,,,KZ11,19.5
2017,процент,Павлодарская,мужчины,,,KZ11,19.0
2018,процент,Павлодарская,мужчины,,,KZ11,19.7
2010,процент,Северо-Казахстанская,мужчины,,,KZ16,4.7
2011,процент,Северо-Казахстанская,мужчины,,,KZ16,4.7
2012,процент,Северо-Казахстанская,мужчины,,,KZ16,5.2
2013,процент,Северо-Казахстанская,мужчины,,,KZ16,5.0
2014,процент,Северо-Казахстанская,мужчины,,,KZ16,5.0
2015,процент,Северо-Казахстанская,мужчины,,,KZ16,5.4
2016,процент,Северо-Казахстанская,мужчины,,,KZ16,5.5
2017,процент,Северо-Казахстанская,мужчины,,,KZ16,5.8
2018,процент,Северо-Казахстанская,мужчины,,,KZ16,6.8
2018,процент,Туркестанская,мужчины,,,KZ10,2.4
2010,процент,Восточно-Казахстанская,мужчины,,,KZ15,11.2
2011,процент,Восточно-Казахстанская,мужчины,,,KZ15,10.5
2012,процент,Восточно-Казахстанская,мужчины,,,KZ15,11.5
2013,процент,Восточно-Казахстанская,мужчины,,,KZ15,11.9
2014,процент,Восточно-Казахстанская,мужчины,,,KZ15,11.8
2015,процент,Восточно-Казахстанская,мужчины,,,KZ15,12.7
2016,процент,Восточно-Казахстанская,мужчины,,,KZ15,14.0
2017,процент,Восточно-Казахстанская,мужчины,,,KZ15,13.4
2018,процент,Восточно-Казахстанская,мужчины,,,KZ15,13.7
2010,процент,г.Нур-Султан,мужчины,,,KZ05,4.2
2011,процент,г.Нур-Султан,мужчины,,,KZ05,2.4
2012,процент,г.Нур-Султан,мужчины,,,KZ05,3.9
2013,процент,г.Нур-Султан,мужчины,,,KZ05,3.5
2014,процент,г.Нур-Султан,мужчины,,,KZ05,3.6
2015,процент,г.Нур-Султан,мужчины,,,KZ05,4.3
2016,процент,г.Нур-Султан,мужчины,,,KZ05,3.1
2017,процент,г.Нур-Султан,мужчины,,,KZ05,4.9
2018,процент,г.Нур-Султан,мужчины,,,KZ05,5.8
2010,процент,г.Алматы,мужчины,,,KZ02,11.2
2011,процент,г.Алматы,мужчины,,,KZ02,9.4
2012,процент,г.Алматы,мужчины,,,KZ02,7.6
2013,процент,г.Алматы,мужчины,,,KZ02,8.7
2014,процент,г.Алматы,мужчины,,,KZ02,6.9
2015,процент,г.Алматы,мужчины,,,KZ02,7.9
2016,процент,г.Алматы,мужчины,,,KZ02,7.2
2017,процент,г.Алматы,мужчины,,,KZ02,7.2
2018,процент,г.Алматы,мужчины,,,KZ02,8.1
2018,процент,г.Шымкент,мужчины,,,KZ18,5.7
2010,процент,Республика Казахстан,женщины,,,,5.4
2011,процент,Республика Казахстан,женщины,,,,4.9
2012,процент,Республика Казахстан,женщины,,,,5.0
2013,процент,Республика Казахстан,женщины,,,,4.9
2014,процент,Республика Казахстан,женщины,,,,4.9
2015,процент,Республика Казахстан,женщины,,,,5.1
2016,процент,Республика Казахстан,женщины,,,,5.5
2017,процент,Республика Казахстан,женщины,,,,5.3
2018,процент,Республика Казахстан,женщины,,,,4.9
2010,процент,Акмолинская,женщины,,,KZ03,6.7
2011,процент,Акмолинская,женщины,,,KZ03,6.3
2012,процент,Акмолинская,женщины,,,KZ03,6.8
2013,процент,Акмолинская,женщины,,,KZ03,6.9
2014,процент,Акмолинская,женщины,,,KZ03,6.7
2015,процент,Акмолинская,женщины,,,KZ03,7.1
2016,процент,Акмолинская,женщины,,,KZ03,7.8
2017,процент,Акмолинская,женщины,,,KZ03,6.7
2018,процент,Акмолинская,женщины,,,KZ03,6.4
2010,процент,Актюбинская,женщины,,,KZ04,5.5
2011,процент,Актюбинская,женщины,,,KZ04,2.5
2012,процент,Актюбинская,женщины,,,KZ04,2.9
2013,процент,Актюбинская,женщины,,,KZ04,3.7
2014,процент,Актюбинская,женщины,,,KZ04,4.2
2015,процент,Актюбинская,женщины,,,KZ04,4.0
2016,процент,Актюбинская,женщины,,,KZ04,5.1
2017,процент,Актюбинская,женщины,,,KZ04,4.3
2018,процент,Актюбинская,женщины,,,KZ04,3.9
2010,процент,Алматинская,женщины,,,KZ01,3.1
2011,процент,Алматинская,женщины,,,KZ01,3.0
2012,процент,Алматинская,женщины,,,KZ01,2.7
2013,процент,Алматинская,женщины,,,KZ01,2.7
2014,процент,Алматинская,женщины,,,KZ01,3.0
2015,процент,Алматинская,женщины,,,KZ01,3.5
2016,процент,Алматинская,женщины,,,KZ01,3.6
2017,процент,Алматинская,женщины,,,KZ01,4.3
2018,процент,Алматинская,женщины,,,KZ01,3.9
2010,процент,Атырауская,женщины,,,KZ06,2.9
2011,процент,Атырауская,женщины,,,KZ06,3.3
2012,процент,Атырауская,женщины,,,KZ06,3.3
2013,процент,Атырауская,женщины,,,KZ06,4.1
2014,процент,Атырауская,женщины,,,KZ06,2.7
2015,процент,Атырауская,женщины,,,KZ06,4.0
2016,процент,Атырауская,женщины,,,KZ06,3.9
2017,процент,Атырауская,женщины,,,KZ06,4.7
2018,процент,Атырауская,женщины,,,KZ06,3.6
2010,процент,Западно-Казахстанская,женщины,,,KZ07,2.5
2011,процент,Западно-Казахстанская,женщины,,,KZ07,2.9
2012,процент,Западно-Казахстанская,женщины,,,KZ07,2.6
2013,процент,Западно-Казахстанская,женщины,,,KZ07,3.1
2014,процент,Западно-Казахстанская,женщины,,,KZ07,3.3
2015,процент,Западно-Казахстанская,женщины,,,KZ07,3.2
2016,процент,Западно-Казахстанская,женщины,,,KZ07,4.7
2017,процент,Западно-Казахстанская,женщины,,,KZ07,4.9
2018,процент,Западно-Казахстанская,женщины,,,KZ07,4.7
2010,процент,Жамбылская,женщины,,,KZ17,3.6
2011,процент,Жамбылская,женщины,,,KZ17,3.3
2012,процент,Жамбылская,женщины,,,KZ17,4.4
2013,процент,Жамбылская,женщины,,,KZ17,2.8
2014,процент,Жамбылская,женщины,,,KZ17,1.7
2015,процент,Жамбылская,женщины,,,KZ17,1.6
2016,процент,Жамбылская,женщины,,,KZ17,2.9
2017,процент,Жамбылская,женщины,,,KZ17,3.3
2018,процент,Жамбылская,женщины,,,KZ17,2.6
2010,процент,Карагандинская,женщины,,,KZ12,12.1
2011,процент,Карагандинская,женщины,,,KZ12,12.3
2012,процент,Карагандинская,женщины,,,KZ12,11.9
2013,процент,Карагандинская,женщины,,,KZ12,11.7
2014,процент,Карагандинская,женщины,,,KZ12,10.3
2015,процент,Карагандинская,женщины,,,KZ12,10.6
2016,процент,Карагандинская,женщины,,,KZ12,10.4
2017,процент,Карагандинская,женщины,,,KZ12,9.7
2018,процент,Карагандинская,женщины,,,KZ12,9.6
2010,процент,Костанайская,женщины,,,KZ13,4.0
2011,процент,Костанайская,женщины,,,KZ13,4.2
2012,процент,Костанайская,женщины,,,KZ13,4.1
2013,процент,Костанайская,женщины,,,KZ13,4.2
2014,процент,Костанайская,женщины,,,KZ13,4.3
2015,процент,Костанайская,женщины,,,KZ13,4.4
2016,процент,Костанайская,женщины,,,KZ13,4.3
2017,процент,Костанайская,женщины,,,KZ13,3.7
2018,процент,Костанайская,женщины,,,KZ13,4.1
2010,процент,Кызылординская,женщины,,,KZ14,4.8
2011,процент,Кызылординская,женщины,,,KZ14,4.4
2012,процент,Кызылординская,женщины,,,KZ14,2.5
2013,процент,Кызылординская,женщины,,,KZ14,1.8
2014,процент,Кызылординская,женщины,,,KZ14,4.1
2015,процент,Кызылординская,женщины,,,KZ14,4.1
2016,процент,Кызылординская,женщины,,,KZ14,4.1
2017,процент,Кызылординская,женщины,,,KZ14,3.9
2018,процент,Кызылординская,женщины,,,KZ14,2.7
2010,процент,Мангистауская,женщины,,,KZ09,5.0
2011,процент,Мангистауская,женщины,,,KZ09,6.1
2012,процент,Мангистауская,женщины,,,KZ09,7.3
2013,процент,Мангистауская,женщины,,,KZ09,3.1
2014,процент,Мангистауская,женщины,,,KZ09,3.8
2015,процент,Мангистауская,женщины,,,KZ09,5.7
2016,процент,Мангистауская,женщины,,,KZ09,5.1
2017,процент,Мангистауская,женщины,,,KZ09,3.5
2018,процент,Мангистауская,женщины,,,KZ09,4.7
2010,процент,Южно-Казахстанская,женщины,,,KZ10,2.1
2011,процент,Южно-Казахстанская,женщины,,,KZ10,1.9
2012,процент,Южно-Казахстанская,женщины,,,KZ10,2.1
2013,процент,Южно-Казахстанская,женщины,,,KZ10,2.2
2014,процент,Южно-Казахстанская,женщины,,,KZ10,3.9
2015,процент,Южно-Казахстанская,женщины,,,KZ10,2.9
2016,процент,Южно-Казахстанская,женщины,,,KZ10,2.8
2017,процент,Южно-Казахстанская,женщины,,,KZ10,2.8
2010,процент,Павлодарская,женщины,,,KZ11,10.3
2011,процент,Павлодарская,женщины,,,KZ11,10.7
2012,процент,Павлодарская,женщины,,,KZ11,9.4
2013,процент,Павлодарская,женщины,,,KZ11,8.5
2014,процент,Павлодарская,женщины,,,KZ11,9.0
2015,процент,Павлодарская,женщины,,,KZ11,8.0
2016,процент,Павлодарская,женщины,,,KZ11,10.1
2017,процент,Павлодарская,женщины,,,KZ11,10.8
2018,процент,Павлодарская,женщины,,,KZ11,10.3
2010,процент,Северо-Казахстанская,женщины,,,KZ16,2.6
2011,процент,Северо-Казахстанская,женщины,,,KZ16,2.4
2012,процент,Северо-Казахстанская,женщины,,,KZ16,3.0
2013,процент,Северо-Казахстанская,женщины,,,KZ16,3.4
2014,процент,Северо-Казахстанская,женщины,,,KZ16,3.3
2015,процент,Северо-Казахстанская,женщины,,,KZ16,3.3
2016,процент,Северо-Казахстанская,женщины,,,KZ16,4.4
2017,процент,Северо-Казахстанская,женщины,,,KZ16,3.6
2018,процент,Северо-Казахстанская,женщины,,,KZ16,3.4
2018,процент,Туркестанская,женщины,,,KZ10,1.8
2010,процент,Восточно-Казахстанская,женщины,,,KZ15,6.9
2011,процент,Восточно-Казахстанская,женщины,,,KZ15,7.1
2012,процент,Восточно-Казахстанская,женщины,,,KZ15,7.2
2013,процент,Восточно-Казахстанская,женщины,,,KZ15,7.2
2014,процент,Восточно-Казахстанская,женщины,,,KZ15,7.5
2015,процент,Восточно-Казахстанская,женщины,,,KZ15,7.6
2016,процент,Восточно-Казахстанская,женщины,,,KZ15,7.4
2017,процент,Восточно-Казахстанская,женщины,,,KZ15,7.3
2018,процент,Восточно-Казахстанская,женщины,,,KZ15,7.0
2010,процент,г.Нур-Султан,женщины,,,KZ05,6.4
2011,процент,г.Нур-Султан,женщины,,,KZ05,1.9
2012,процент,г.Нур-Султан,женщины,,,KZ05,1.7
2013,процент,г.Нур-Султан,женщины,,,KZ05,2.6
2014,процент,г.Нур-Султан,женщины,,,KZ05,1.8
2015,процент,г.Нур-Султан,женщины,,,KZ05,3.5
2016,процент,г.Нур-Султан,женщины,,,KZ05,4.8
2017,процент,г.Нур-Султан,женщины,,,KZ05,4.4
2018,процент,г.Нур-Султан,женщины,,,KZ05,3.3
2010,процент,г.Алматы,женщины,,,KZ02,6.3
2011,процент,г.Алматы,женщины,,,KZ02,6.0
2012,процент,г.Алматы,женщины,,,KZ02,6.9
2013,процент,г.Алматы,женщины,,,KZ02,7.6
2014,процент,г.Алматы,женщины,,,KZ02,6.1
2015,процент,г.Алматы,женщины,,,KZ02,6.8
2016,процент,г.Алматы,женщины,,,KZ02,6.8
2017,процент,г.Алматы,женщины,,,KZ02,6.4
2018,процент,г.Алматы,женщины,,,KZ02,5.3
2018,процент,г.Шымкент,женщины,,,KZ18,6.0
2012,процент,Республика Казахстан,,городское население,,,9.4
2013,процент,Республика Казахстан,,городское население,,,9.5
2014,процент,Республика Казахстан,,городское население,,,9.1
2015,процент,Республика Казахстан,,городское население,,,9.2
2016,процент,Республика Казахстан,,городское население,,,8.8
2017,процент,Республика Казахстан,,городское население,,,9.1
2018,процент,Республика Казахстан,,городское население,,,9.0
2012,процент,Акмолинская,,городское население,,KZ03,10.6
2013,процент,Акмолинская,,городское население,,KZ03,10.4
2014,процент,Акмолинская,,городское население,,KZ03,10.8
2015,процент,Акмолинская,,городское население,,KZ03,10.9
2016,процент,Акмолинская,,городское население,,KZ03,10.6
2017,процент,Акмолинская,,городское население,,KZ03,10.1
2018,процент,Акмолинская,,городское население,,KZ03,10.3
2012,процент,Актюбинская,,городское население,,KZ04,7.7
2013,процент,Актюбинская,,городское население,,KZ04,8.0
2014,процент,Актюбинская,,городское население,,KZ04,8.2
2015,процент,Актюбинская,,городское население,,KZ04,7.4
2016,процент,Актюбинская,,городское население,,KZ04,9.5
2017,процент,Актюбинская,,городское население,,KZ04,9.4
2018,процент,Актюбинская,,городское население,,KZ04,9.1
2012,процент,Алматинская,,городское население,,KZ01,5.1
2013,процент,Алматинская,,городское население,,KZ01,4.4
2014,процент,Алматинская,,городское население,,KZ01,5.2
2015,процент,Алматинская,,городское население,,KZ01,6.1
2016,процент,Алматинская,,городское население,,KZ01,5.1
2017,процент,Алматинская,,городское население,,KZ01,8.0
2018,процент,Алматинская,,городское население,,KZ01,6.2
2012,процент,Атырауская,,городское население,,KZ06,6.2
2013,процент,Атырауская,,городское население,,KZ06,6.1
2014,процент,Атырауская,,городское население,,KZ06,4.0
2015,процент,Атырауская,,городское население,,KZ06,4.9
2016,процент,Атырауская,,городское население,,KZ06,4.5
