Year,Units,Регионы,Местность,Возраст,GeoCode,Value
2010,процент,Мангистауская,,,KZ09,30.4
2011,процент,Мангистауская,,,KZ09,32.9
2012,процент,Мангистауская,,,KZ09,40.7
2013,процент,Мангистауская,,,KZ09,30.0
2014,процент,Мангистауская,,,KZ09,44.6
2015,процент,Мангистауская,,,KZ09,52.0
2016,процент,Мангистауская,,,KZ09,44.4
2017,процент,Мангистауская,,,KZ09,42.0
2018,процент,Мангистауская,,,KZ09,37.4
2010,процент,Южно-Казахстанская,,,KZ10,18.4
2011,процент,Южно-Казахстанская,,,KZ10,28.1
2012,процент,Южно-Казахстанская,,,KZ10,28.7
2013,процент,Южно-Казахстанская,,,KZ10,32.5
2014,процент,Южно-Казахстанская,,,KZ10,32.9
2015,процент,Южно-Казахстанская,,,KZ10,28.7
2016,процент,Южно-Казахстанская,,,KZ10,40.9
2017,процент,Южно-Казахстанская,,,KZ10,26.5
2010,процент,Павлодарская,,,KZ11,41.7
2011,процент,Павлодарская,,,KZ11,41.9
2012,процент,Павлодарская,,,KZ11,30.9
2013,процент,Павлодарская,,,KZ11,36.3
2014,процент,Павлодарская,,,KZ11,32.0
2015,процент,Павлодарская,,,KZ11,39.1
2016,процент,Павлодарская,,,KZ11,40.0
2017,процент,Павлодарская,,,KZ11,43.6
2018,процент,Павлодарская,,,KZ11,40.2
2010,процент,Северо-Казахстанская,,,KZ16,32.7
2011,процент,Северо-Казахстанская,,,KZ16,35.0
2012,процент,Северо-Казахстанская,,,KZ16,40.4
2013,процент,Северо-Казахстанская,,,KZ16,27.5
2014,процент,Северо-Казахстанская,,,KZ16,31.3
2015,процент,Северо-Казахстанская,,,KZ16,39.6
2016,процент,Северо-Казахстанская,,,KZ16,32.6
2017,процент,Северо-Казахстанская,,,KZ16,33.9
2018,процент,Северо-Казахстанская,,,KZ16,39.3
2018,процент,Туркестанская,,,KZ10,40.3
2010,процент,Восточно-Казахстанская,,,KZ15,35.7
2011,процент,Восточно-Казахстанская,,,KZ15,37.6
2012,процент,Восточно-Казахстанская,,,KZ15,38.1
2013,процент,Восточно-Казахстанская,,,KZ15,35.5
2014,процент,Восточно-Казахстанская,,,KZ15,35.0
2015,процент,Восточно-Казахстанская,,,KZ15,33.0
2016,процент,Восточно-Казахстанская,,,KZ15,33.7
2017,процент,Восточно-Казахстанская,,,KZ15,41.1
2018,процент,Восточно-Казахстанская,,,KZ15,45.1
2010,процент,г_Нур-Султан,,,KZ05,40.4
2011,процент,г_Нур-Султан,,,KZ05,41.4
2012,процент,г_Нур-Султан,,,KZ05,46.2
2013,процент,г_Нур-Султан,,,KZ05,48.0
2014,процент,г_Нур-Султан,,,KZ05,35.9
2015,процент,г_Нур-Султан,,,KZ05,41.9
2016,процент,г_Нур-Султан,,,KZ05,44.2
2017,процент,г_Нур-Султан,,,KZ05,43.2
2018,процент,г_Нур-Султан,,,KZ05,43.3
2010,процент,г_Алматы,,,KZ02,39.2
2011,процент,г_Алматы,,,KZ02,40.3
2012,процент,г_Алматы,,,KZ02,46.2
2013,процент,г_Алматы,,,KZ02,39.5
2014,процент,г_Алматы,,,KZ02,38.4
2015,процент,г_Алматы,,,KZ02,35.3
2016,процент,г_Алматы,,,KZ02,39.9
2017,процент,г_Алматы,,,KZ02,36.1
2018,процент,г_Алматы,,,KZ02,43.2
2018,процент,г_Шымкент,,,KZ18,46.7
2010,процент,,городская местность,,,38.0
2011,процент,,городская местность,,,39.5
2012,процент,,городская местность,,,41.9
2013,процент,,городская местность,,,38.9
2014,процент,,городская местность,,,37.1
2015,процент,,городская местность,,,38.4
2016,процент,,городская местность,,,38.3
2017,процент,,городская местность,,,37.8
2018,процент,,городская местность,,,41.7
2010,процент,Акмолинская,городская местность,,KZ03,40.5
2011,процент,Акмолинская,городская местность,,KZ03,46.1
2012,процент,Акмолинская,городская местность,,KZ03,44.6
2013,процент,Акмолинская,городская местность,,KZ03,50.5
2014,процент,Акмолинская,городская местность,,KZ03,37.7
2015,процент,Акмолинская,городская местность,,KZ03,29.8
2016,процент,Акмолинская,городская местность,,KZ03,31.8
2017,процент,Акмолинская,городская местность,,KZ03,33.1
2018,процент,Акмолинская,городская местность,,KZ03,45.8
2010,процент,Актюбинская,городская местность,,KZ04,36.1
2011,процент,Актюбинская,городская местность,,KZ04,40.4
2012,процент,Актюбинская,городская местность,,KZ04,35.3
2013,процент,Актюбинская,городская местность,,KZ04,23.8
2014,процент,Актюбинская,городская местность,,KZ04,39.6
2015,процент,Актюбинская,городская местность,,KZ04,33.1
2016,процент,Актюбинская,городская местность,,KZ04,36.8
2017,процент,Актюбинская,городская местность,,KZ04,42.3
2018,процент,Актюбинская,городская местность,,KZ04,34.1
2010,процент,Алматинская,городская местность,,KZ01,29.7
2011,процент,Алматинская,городская местность,,KZ01,26.2
2012,процент,Алматинская,городская местность,,KZ01,36.9
2013,процент,Алматинская,городская местность,,KZ01,46.3
2014,процент,Алматинская,городская местность,,KZ01,30.5
2015,процент,Алматинская,городская местность,,KZ01,34.3
2016,процент,Алматинская,городская местность,,KZ01,42.2
2017,процент,Алматинская,городская местность,,KZ01,35.2
2018,процент,Алматинская,городская местность,,KZ01,38.0
2010,процент,Атырауская,городская местность,,KZ06,16.1
2011,процент,Атырауская,городская местность,,KZ06,27.8
2012,процент,Атырауская,городская местность,,KZ06,39.5
2013,процент,Атырауская,городская местность,,KZ06,31.9
2014,процент,Атырауская,городская местность,,KZ06,23.7
2015,процент,Атырауская,городская местность,,KZ06,33.6
2016,процент,Атырауская,городская местность,,KZ06,30.5
2017,процент,Атырауская,городская местность,,KZ06,30.8
2018,процент,Атырауская,городская местность,,KZ06,33.8
2010,процент,Западно-Казахстанская,городская местность,,KZ07,23.4
2011,процент,Западно-Казахстанская,городская местность,,KZ07,27.5
2012,процент,Западно-Казахстанская,городская местность,,KZ07,19.1
2013,процент,Западно-Казахстанская,городская местность,,KZ07,26.0
2014,процент,Западно-Казахстанская,городская местность,,KZ07,32.0
2015,процент,Западно-Казахстанская,городская местность,,KZ07,38.4
2016,процент,Западно-Казахстанская,городская местность,,KZ07,35.0
2017,процент,Западно-Казахстанская,городская местность,,KZ07,39.1
2018,процент,Западно-Казахстанская,городская местность,,KZ07,36.9
2010,процент,Жамбылская,городская местность,,KZ17,28.0
2011,процент,Жамбылская,городская местность,,KZ17,35.3
2012,процент,Жамбылская,городская местность,,KZ17,38.8
2013,процент,Жамбылская,городская местность,,KZ17,29.9
2014,процент,Жамбылская,городская местность,,KZ17,27.5
2015,процент,Жамбылская,городская местность,,KZ17,20.3
2016,процент,Жамбылская,городская местность,,KZ17,16.2
2017,процент,Жамбылская,городская местность,,KZ17,17.8
2018,процент,Жамбылская,городская местность,,KZ17,42.6
2010,процент,Карагандинская,городская местность,,KZ12,41.7
2011,процент,Карагандинская,городская местность,,KZ12,40.0
2012,процент,Карагандинская,городская местность,,KZ12,44.7
2013,процент,Карагандинская,городская местность,,KZ12,39.4
2014,процент,Карагандинская,городская местность,,KZ12,37.0
2015,процент,Карагандинская,городская местность,,KZ12,39.9
2016,процент,Карагандинская,городская местность,,KZ12,34.2
2017,процент,Карагандинская,городская местность,,KZ12,33.3
2018,процент,Карагандинская,городская местность,,KZ12,37.0
2010,процент,Костанайская,городская местность,,KZ13,35.3
2011,процент,Костанайская,городская местность,,KZ13,42.6
2012,процент,Костанайская,городская местность,,KZ13,45.6
2013,процент,Костанайская,городская местность,,KZ13,39.1
2014,процент,Костанайская,городская местность,,KZ13,41.4
2015,процент,Костанайская,городская местность,,KZ13,44.7
2016,процент,Костанайская,городская местность,,KZ13,41.4
2017,процент,Костанайская,городская местность,,KZ13,40.0
2018,процент,Костанайская,городская местность,,KZ13,42.5
2010,процент,Кызылординская,городская местность,,KZ14,38.5
2011,процент,Кызылординская,городская местность,,KZ14,40.2
2012,процент,Кызылординская,городская местность,,KZ14,32.4
2013,процент,Кызылординская,городская местность,,KZ14,31.7
2014,процент,Кызылординская,городская местность,,KZ14,38.1
2015,процент,Кызылординская,городская местность,,KZ14,37.6
2016,процент,Кызылординская,городская местность,,KZ14,32.2
2017,процент,Кызылординская,городская местность,,KZ14,29.6
2018,процент,Кызылординская,городская местность,,KZ14,38.2
2010,процент,Мангистауская,городская местность,,KZ09,30.5
2011,процент,Мангистауская,городская местность,,KZ09,34.7
2012,процент,Мангистауская,городская местность,,KZ09,43.9
2013,процент,Мангистауская,городская местность,,KZ09,28.0
2014,процент,Мангистауская,городская местность,,KZ09,46.4
2015,процент,Мангистауская,городская местность,,KZ09,51.6
2016,процент,Мангистауская,городская местность,,KZ09,43.8
2017,процент,Мангистауская,городская местность,,KZ09,39.5
2018,процент,Мангистауская,городская местность,,KZ09,36.6
2010,процент,Южно-Казахстанская,городская местность,,KZ10,24.8
2011,процент,Южно-Казахстанская,городская местность,,KZ10,31.5
2012,процент,Южно-Казахстанская,городская местность,,KZ10,35.4
2013,процент,Южно-Казахстанская,городская местность,,KZ10,29.4
2014,процент,Южно-Казахстанская,городская местность,,KZ10,35.5
2015,процент,Южно-Казахстанская,городская местность,,KZ10,32.8
2016,процент,Южно-Казахстанская,городская местность,,KZ10,43.0
2017,процент,Южно-Казахстанская,городская местность,,KZ10,24.9
2010,процент,Павлодарская,городская местность,,KZ11,41.4
2011,процент,Павлодарская,городская местность,,KZ11,39.0
2012,процент,Павлодарская,городская местность,,KZ11,29.0
2013,процент,Павлодарская,городская местность,,KZ11,33.9
2014,процент,Павлодарская,городская местность,,KZ11,31.5
2015,процент,Павлодарская,городская местность,,KZ11,40.7
2016,процент,Павлодарская,городская местность,,KZ11,40.5
2017,процент,Павлодарская,городская местность,,KZ11,46.1
2018,процент,Павлодарская,городская местность,,KZ11,40.1
2010,процент,Северо-Казахстанская,городская местность,,KZ16,36.6
2011,процент,Северо-Казахстанская,городская местность,,KZ16,35.1
2012,процент,Северо-Казахстанская,городская местность,,KZ16,33.8
2013,процент,Северо-Казахстанская,городская местность,,KZ16,29.4
2014,процент,Северо-Казахстанская,городская местность,,KZ16,34.0
2015,процент,Северо-Казахстанская,городская местность,,KZ16,42.1
2016,процент,Северо-Казахстанская,городская местность,,KZ16,33.5
2017,процент,Северо-Казахстанская,городская местность,,KZ16,37.2
2018,процент,Северо-Казахстанская,городская местность,,KZ16,43.1
2018,процент,Туркестанская,городская местность,,KZ10,37.9
2010,процент,Восточно-Казахстанская,городская местность,,KZ15,39.5
2011,процент,Восточно-Казахстанская,городская местность,,KZ15,40.1
2012,процент,Восточно-Казахстанская,городская местность,,KZ15,34.4
2013,процент,Восточно-Казахстанская,городская местность,,KZ15,40.1
2014,процент,Восточно-Казахстанская,городская местность,,KZ15,37.8
2015,процент,Восточно-Казахстанская,городская местность,,KZ15,34.6
2016,процент,Восточно-Казахстанская,городская местность,,KZ15,35.2
2017,процент,Восточно-Казахстанская,городская местность,,KZ15,42.3
2018,процент,Восточно-Казахстанская,городская местность,,KZ15,46.7
2010,процент,г_Нур-Султан,городская местность,,KZ05,40.4
2011,процент,г_Нур-Султан,городская местность,,KZ05,41.4
2012,процент,г_Нур-Султан,городская местность,,KZ05,46.2
2013,процент,г_Нур-Султан,городская местность,,KZ05,48.0
2014,процент,г_Нур-Султан,городская местность,,KZ05,37.6
2015,процент,г_Нур-Султан,городская местность,,KZ05,41.9
2016,процент,г_Нур-Султан,городская местность,,KZ05,44.2
2017,процент,г_Нур-Султан,городская местность,,KZ05,43.2
2018,процент,г_Нур-Султан,городская местность,,KZ05,43.3
2010,процент,г_Алматы,городская местность,,KZ02,39.2
2011,процент,г_Алматы,городская местность,,KZ02,40.3
2012,процент,г_Алматы,городская местность,,KZ02,46.2
2013,процент,г_Алматы,городская местность,,KZ02,39.5
2014,процент,г_Алматы,городская местность,,KZ02,39.3
2015,процент,г_Алматы,городская местность,,KZ02,35.3
2016,процент,г_Алматы,городская местность,,KZ02,39.9
2017,процент,г_Алматы,городская местность,,KZ02,36.1
2018,процент,г_Алматы,городская местность,,KZ02,43.2
2018,процент,г_Шымкент,городская местность,,KZ18,46.7
2010,процент,,сельская местность,,,33.4
2011,процент,,сельская местность,,,34.3
2012,процент,,сельская местность,,,32.2
2013,процент,,сельская местность,,,37.0
2014,процент,,сельская местность,,,30.2
2015,процент,,сельская местность,,,32.1
2016,процент,,сельская местность,,,32.9
2017,процент,,сельская местность,,,33.3
2018,процент,,сельская местность,,,39.5
2010,процент,Акмолинская,сельская местность,,KZ03,37.5
2011,процент,Акмолинская,сельская местность,,KZ03,30.0
2012,процент,Акмолинская,сельская местность,,KZ03,12.8
2013,процент,Акмолинская,сельская местность,,KZ03,31.2
2014,процент,Акмолинская,сельская местность,,KZ03,29.6
2015,процент,Акмолинская,сельская местность,,KZ03,30.3
2016,процент,Акмолинская,сельская местность,,KZ03,38.3
2017,процент,Акмолинская,сельская местность,,KZ03,39.8
2018,процент,Акмолинская,сельская местность,,KZ03,45.6
2010,процент,Актюбинская,сельская местность,,KZ04,55.8
2011,процент,Актюбинская,сельская местность,,KZ04,48.8
2012,процент,Актюбинская,сельская местность,,KZ04,42.5
2013,процент,Актюбинская,сельская местность,,KZ04,54.4
2014,процент,Актюбинская,сельская местность,,KZ04,30.6
2015,процент,Актюбинская,сельская местность,,KZ04,38.1
2016,процент,Актюбинская,сельская местность,,KZ04,27.0
2017,процент,Актюбинская,сельская местность,,KZ04,31.7
2018,процент,Актюбинская,сельская местность,,KZ04,32.4
2010,процент,Алматинская,сельская местность,,KZ01,32.7
2011,процент,Алматинская,сельская местность,,KZ01,23.3
2012,процент,Алматинская,сельская местность,,KZ01,32.1
2013,процент,Алматинская,сельская местность,,KZ01,45.3
2014,процент,Алматинская,сельская местность,,KZ01,25.3
2015,процент,Алматинская,сельская местность,,KZ01,29.3
2016,процент,Алматинская,сельская местность,,KZ01,31.1
2017,процент,Алматинская,сельская местность,,KZ01,33.0
2018,процент,Алматинская,сельская местность,,KZ01,39.8
2010,процент,Атырауская,сельская местность,,KZ06,26.8
2011,процент,Атырауская,сельская местность,,KZ06,23.6
2012,процент,Атырауская,сельская местность,,KZ06,10.1
2013,процент,Атырауская,сельская местность,,KZ06,18.0
2014,процент,Атырауская,сельская местность,,KZ06,32.7
2015,процент,Атырауская,сельская местность,,KZ06,34.6
2016,процент,Атырауская,сельская местность,,KZ06,28.4
2017,процент,Атырауская,сельская местность,,KZ06,32.6
2018,процент,Атырауская,сельская местность,,KZ06,43.0
2010,процент,Западно-Казахстанская,сельская местность,,KZ07,8.6
2011,процент,Западно-Казахстанская,сельская местность,,KZ07,11.0
2012,процент,Западно-Казахстанская,сельская местность,,KZ07,25.5
2013,процент,Западно-Казахстанская,сельская местность,,KZ07,16.9
2014,процент,Западно-Казахстанская,сельская местность,,KZ07,28.8
2015,процент,Западно-Казахстанская,сельская местность,,KZ07,30.7
2016,процент,Западно-Казахстанская,сельская местность,,KZ07,33.5
2017,процент,Западно-Казахстанская,сельская местность,,KZ07,28.8
2018,процент,Западно-Казахстанская,сельская местность,,KZ07,35.6
2010,процент,Жамбылская,сельская местность,,KZ17,19.1
2011,процент,Жамбылская,сельская местность,,KZ17,25.0
2012,процент,Жамбылская,сельская местность,,KZ17,42.6
2013,процент,Жамбылская,сельская местность,,KZ17,10.1
2014,процент,Жамбылская,сельская местность,,KZ17,16.7
2015,процент,Жамбылская,сельская местность,,KZ17,21.1
2016,процент,Жамбылская,сельская местность,,KZ17,29.4
2017,процент,Жамбылская,сельская местность,,KZ17,20.9
2018,процент,Жамбылская,сельская местность,,KZ17,36.2
2010,процент,Карагандинская,сельская местность,,KZ12,31.5
2011,процент,Карагандинская,сельская местность,,KZ12,39.8
2012,процент,Карагандинская,сельская местность,,KZ12,27.0
2013,процент,Карагандинская,сельская местность,,KZ12,30.7
2014,процент,Карагандинская,сельская местность,,KZ12,32.0
2015,процент,Карагандинская,сельская местность,,KZ12,30.9
2016,процент,Карагандинская,сельская местность,,KZ12,30.7
2017,процент,Карагандинская,сельская местность,,KZ12,29.6
2018,процент,Карагандинская,сельская местность,,KZ12,33.6
2010,процент,Костанайская,сельская местность,,KZ13,46.9
2011,процент,Костанайская,сельская местность,,KZ13,46.7
2012,процент,Костанайская,сельская местность,,KZ13,36.1
2013,процент,Костанайская,сельская местность,,KZ13,20.5
2014,процент,Костанайская,сельская местность,,KZ13,34.4
2015,процент,Костанайская,сельская местность,,KZ13,38.4
2016,процент,Костанайская,сельская местность,,KZ13,35.9
2017,процент,Костанайская,сельская местность,,KZ13,36.5
2018,процент,Костанайская,сельская местность,,KZ13,43.7
2010,процент,Кызылординская,сельская местность,,KZ14,37.3
2011,процент,Кызылординская,сельская местность,,KZ14,41.9
2012,процент,Кызылординская,сельская местность,,KZ14,28.7
2013,процент,Кызылординская,сельская местность,,KZ14,29.4
2014,процент,Кызылординская,сельская местность,,KZ14,28.8
2015,процент,Кызылординская,сельская местность,,KZ14,26.3
2016,процент,Кызылординская,сельская местность,,KZ14,27.3
2017,процент,Кызылординская,сельская местность,,KZ14,33.3
2018,процент,Кызылординская,сельская местность,,KZ14,34.9
2010,процент,Мангистауская,сельская местность,,KZ09,29.6
2011,процент,Мангистауская,сельская местность,,KZ09,20.5
2012,процент,Мангистауская,сельская местность,,KZ09,16.7
2013,процент,Мангистауская,сельская местность,,KZ09,35.8
2014,процент,Мангистауская,сельская местность,,KZ09,45.5
2015,процент,Мангистауская,сельская местность,,KZ09,53.0
2016,процент,Мангистауская,сельская местность,,KZ09,47.1
2017,процент,Мангистауская,сельская местность,,KZ09,49.1
2018,процент,Мангистауская,сельская местность,,KZ09,38.9
2010,процент,Южно-Казахстанская,сельская местность,,KZ10,4.2
2011,процент,Южно-Казахстанская,сельская местность,,KZ10,21.4
2012,процент,Южно-Казахстанская,сельская местность,,KZ10,15.8
2013,процент,Южно-Казахстанская,сельская местность,,KZ10,34.8
2014,процент,Южно-Казахстанская,сельская местность,,KZ10,30.4
2015,процент,Южно-Казахстанская,сельская местность,,KZ10,23.7
2016,процент,Южно-Казахстанская,сельская местность,,KZ10,33.7
2017,процент,Южно-Казахстанская,сельская местность,,KZ10,32.1
2010,процент,Павлодарская,сельская местность,,KZ11,43.3
2011,процент,Павлодарская,сельская местность,,KZ11,51.8
2012,процент,Павлодарская,сельская местность,,KZ11,39.1
2013,процент,Павлодарская,сельская местность,,KZ11,44.0
2014,процент,Павлодарская,сельская местность,,KZ11,38.6
2015,процент,Павлодарская,сельская местность,,KZ11,31.6
2016,процент,Павлодарская,сельская местность,,KZ11,37.6
2017,процент,Павлодарская,сельская местность,,KZ11,30.4
2018,процент,Павлодарская,сельская местность,,KZ11,40.7
2010,процент,Северо-Казахстанская,сельская местность,,KZ16,27.3
2011,процент,Северо-Казахстанская,сельская местность,,KZ16,34.7
2012,процент,Северо-Казахстанская,сельская местность,,KZ16,45.8
2013,процент,Северо-Казахстанская,сельская местность,,KZ16,23.9
2014,процент,Северо-Казахстанская,сельская местность,,KZ16,28.0
2015,процент,Северо-Казахстанская,сельская местность,,KZ16,32.9
2016,процент,Северо-Казахстанская,сельская местность,,KZ16,30.4
2017,процент,Северо-Казахстанская,сельская местность,,KZ16,24.3
2018,процент,Северо-Казахстанская,сельская местность,,KZ16,34.1
2018,процент,Туркестанская,сельская местность,,KZ10,41.0
2010,процент,Восточно-Казахстанская,сельская местность,,KZ15,28.8
2011,процент,Восточно-Казахстанская,сельская местность,,KZ15,32.9
2012,процент,Восточно-Казахстанская,сельская местность,,KZ15,41.6
2013,процент,Восточно-Казахстанская,сельская местность,,KZ15,29.1
2014,процент,Восточно-Казахстанская,сельская местность,,KZ15,29.2
2015,процент,Восточно-Казахстанская,сельская местность,,KZ15,28.5
2016,процент,Восточно-Казахстанская,сельская местность,,KZ15,25.2
2017,процент,Восточно-Казахстанская,сельская местность,,KZ15,33.3
2018,процент,Восточно-Казахстанская,сельская местность,,KZ15,41.5
2010,процент,,,16-24,,41.5
2011,процент,,,16-24,,49.8
2012,процент,,,16-24,,58.5
2013,процент,,,16-24,,42.0
2014,процент,,,16-24,,29.6
2015,процент,,,16-24,,38.3
2016,процент,,,16-24,,37.9
2017,процент,,,16-24,,41.2
2018,процент,,,16-24,,45.2
2010,процент,,,25-28,,43.5
2011,процент,,,25-28,,44.1
2012,процент,,,25-28,,40.2
2013,процент,,,25-28,,41.6
2014,процент,,,25-28,,34.8
2015,процент,,,25-28,,36.7
2016,процент,,,25-28,,36.1
2017,процент,,,25-28,,35.0
2018,процент,,,25-28,,42.0
2010,процент,,,29-34,,32.8
2011,процент,,,29-34,,36.3
2012,процент,,,29-34,,39.0
2013,процент,,,29-34,,38.4
2014,процент,,,29-34,,33.2
2015,процент,,,29-34,,37.1
2016,процент,,,29-34,,35.6
2017,процент,,,29-34,,36.9
2018,процент,,,29-34,,37.2
2010,процент,,,35-44,,40.6
2011,процент,,,35-44,,39.3
2012,процент,,,35-44,,38.6
2013,процент,,,35-44,,39.3
2014,процент,,,35-44,,36.5
2015,процент,,,35-44,,35.9
2016,процент,,,35-44,,35.4
2017,процент,,,35-44,,37.0
2018,процент,,,35-44,,41.7
2010,процент,,,45-54,,35.8
2011,процент,,,45-54,,38.2
2012,процент,,,45-54,,39.2
2013,процент,,,45-54,,38.4
2014,процент,,,45-54,,38.3
2015,процент,,,45-54,,39.4
2016,процент,,,45-54,,41.5
2017,процент,,,45-54,,39.6
2018,процент,,,45-54,,44.5
2010,процент,,,55-64,,30.9
2011,процент,,,55-64,,29.4
2012,процент,,,55-64,,33.1
2013,процент,,,55-64,,30.0
2014,процент,,,55-64,,30.2
2015,процент,,,55-64,,34.3
2016,процент,,,55-64,,36.7
2017,процент,,,55-64,,31.4
2018,процент,,,55-64,,37.8
2010,процент,,,65 и старше,,51.0
2011,процент,,,65 и старше,,13.6
2012,процент,,,65 и старше,,25.0
2013,процент,,,65 и старше,,17.5
2014,процент,,,65 и старше,,16.0
2015,процент,,,65 и старше,,28.4
2016,процент,,,65 и старше,,29.8
2017,процент,,,65 и старше,,35.3
2018,процент,,,65 и старше,,32.7
2010,процент,Акмолинская,,16-24,KZ03,44.0
2011,процент,Акмолинская,,16-24,KZ03,53.2
2012,процент,Акмолинская,,16-24,KZ03,28.2
2013,процент,Акмолинская,,16-24,KZ03,69.1
2014,процент,Акмолинская,,16-24,KZ03,25.6
2015,процент,Акмолинская,,16-24,KZ03,45.5
2016,процент,Акмолинская,,16-24,KZ03,45.0
2017,процент,Акмолинская,,16-24,KZ03,49.3
2018,процент,Акмолинская,,16-24,KZ03,38.3
2010,процент,Акмолинская,,25-28,KZ03,22.2
2011,процент,Акмолинская,,25-28,KZ03,40.9
2012,процент,Акмолинская,,25-28,KZ03,31.2
2013,процент,Акмолинская,,25-28,KZ03,61.2
2014,процент,Акмолинская,,25-28,KZ03,26.6
2015,процент,Акмолинская,,25-28,KZ03,15.1
2016,процент,Акмолинская,,25-28,KZ03,15.8
2017,процент,Акмолинская,,25-28,KZ03,22.6
2018,процент,Акмолинская,,25-28,KZ03,44.1
2010,процент,Акмолинская,,29-34,KZ03,45.3
2011,процент,Акмолинская,,29-34,KZ03,51.6
2012,процент,Акмолинская,,29-34,KZ03,53.5
2013,процент,Акмолинская,,29-34,KZ03,64.4
2014,процент,Акмолинская,,29-34,KZ03,32.1
2015,процент,Акмолинская,,29-34,KZ03,30.7
2016,процент,Акмолинская,,29-34,KZ03,45.4
2017,процент,Акмолинская,,29-34,KZ03,32.2
2018,процент,Акмолинская,,29-34,KZ03,47.2
2010,процент,Акмолинская,,35-44,KZ03,46.2
