Year,Units,Регионы,Value
2016,млн.тонн,Западно-Казахстанская,39.4149
2017,млн.тонн,Западно-Казахстанская,39.2652
2018,млн.тонн,Западно-Казахстанская,39.46835
2010,млн.тонн,Жамбылская,55.9545
2011,млн.тонн,Жамбылская,70.458
2012,млн.тонн,Жамбылская,80.38889999999999
2013,млн.тонн,Жамбылская,88.3699
2014,млн.тонн,Жамбылская,88.9071
2015,млн.тонн,Жамбылская,91.3309
2016,млн.тонн,Жамбылская,91.2506
2017,млн.тонн,Жамбылская,100.1437
2018,млн.тонн,Жамбылская,103.47242999999999
2010,млн.тонн,Карагандинская,443.96479999999997
2011,млн.тонн,Карагандинская,551.1137
2012,млн.тонн,Карагандинская,619.6886999999999
2013,млн.тонн,Карагандинская,676.6549
2014,млн.тонн,Карагандинская,719.1646
2015,млн.тонн,Карагандинская,709.863
2016,млн.тонн,Карагандинская,727.4763
2017,млн.тонн,Карагандинская,795.5184
2018,млн.тонн,Карагандинская,825.63185
2010,млн.тонн,Костанайская,221.50979999999998
2011,млн.тонн,Костанайская,268.028
2012,млн.тонн,Костанайская,275.5625
2013,млн.тонн,Костанайская,299.653
2014,млн.тонн,Костанайская,297.3363
2015,млн.тонн,Костанайская,294.8958
2016,млн.тонн,Костанайская,277.25890000000004
2017,млн.тонн,Костанайская,291.5305
2018,млн.тонн,Костанайская,297.05128
2010,млн.тонн,Кызылординская,66.32430000000001
2011,млн.тонн,Кызылординская,95.518
2012,млн.тонн,Кызылординская,98.3855
2013,млн.тонн,Кызылординская,106.1353
2014,млн.тонн,Кызылординская,107.1732
2015,млн.тонн,Кызылординская,108.67989999999999
2016,млн.тонн,Кызылординская,104.2945
2017,млн.тонн,Кызылординская,104.6007
2018,млн.тонн,Кызылординская,104.54127
2010,млн.тонн,Мангистауская,141.5499
2011,млн.тонн,Мангистауская,186.5845
2012,млн.тонн,Мангистауская,207.734
2013,млн.тонн,Мангистауская,215.0696
2014,млн.тонн,Мангистауская,217.6252
2015,млн.тонн,Мангистауская,227.8138
2016,млн.тонн,Мангистауская,218.917
2017,млн.тонн,Мангистауская,238.55720000000002
2018,млн.тонн,Мангистауская,237.92486
2010,млн.тонн,Южно-Казахстанская,77.4695
2011,млн.тонн,Южно-Казахстанская,106.5048
2012,млн.тонн,Южно-Казахстанская,123.8486
2013,млн.тонн,Южно-Казахстанская,133.0374
2014,млн.тонн,Южно-Казахстанская,145.40879999999999
2015,млн.тонн,Южно-Казахстанская,154.9665
2016,млн.тонн,Южно-Казахстанская,158.74720000000002
2010,млн.тонн,Павлодарская,78.54469999999999
2011,млн.тонн,Павлодарская,97.0415
2012,млн.тонн,Павлодарская,103.0248
2013,млн.тонн,Павлодарская,116.4561
2014,млн.тонн,Павлодарская,128.0527
2015,млн.тонн,Павлодарская,127.90060000000001
2016,млн.тонн,Павлодарская,131.4623
2017,млн.тонн,Павлодарская,133.1318
2018,млн.тонн,Павлодарская,134.63789000000003
2010,млн.тонн,Северо-Казахстанская,40.078900000000004
2011,млн.тонн,Северо-Казахстанская,46.1275
2012,млн.тонн,Северо-Казахстанская,46.2119
2013,млн.тонн,Северо-Казахстанская,49.2661
2014,млн.тонн,Северо-Казахстанская,49.894400000000005
2015,млн.тонн,Северо-Казахстанская,49.6684
2016,млн.тонн,Северо-Казахстанская,48.1812
2017,млн.тонн,Северо-Казахстанская,51.363
2018,млн.тонн,Северо-Казахстанская,51.46394
2018,млн.тонн,Туркестанская,70.98138
2010,млн.тонн,Восточно-Казахстанская,327.3275
2011,млн.тонн,Восточно-Казахстанская,418.2116
2012,млн.тонн,Восточно-Казахстанская,476.9061
2013,млн.тонн,Восточно-Казахстанская,553.6669
2014,млн.тонн,Восточно-Казахстанская,595.4762
2015,млн.тонн,Восточно-Казахстанская,598.7569
2016,млн.тонн,Восточно-Казахстанская,582.4344
2017,млн.тонн,Восточно-Казахстанская,600.835
2018,млн.тонн,Восточно-Казахстанская,628.3602900000001
2010,млн.тонн,г.Нур-Султан,66.7086
2011,млн.тонн,г.Нур-Султан,97.22510000000001
2012,млн.тонн,г.Нур-Султан,112.5887
2013,млн.тонн,г.Нур-Султан,124.117
2014,млн.тонн,г.Нур-Султан,136.6535
2015,млн.тонн,г.Нур-Султан,142.5343
2016,млн.тонн,г.Нур-Султан,142.55360000000002
2018,млн.тонн,г.Нур-Султан,153.14064000000002
2010,млн.тонн,г.Алматы,142.44289999999998
2011,млн.тонн,г.Алматы,155.5848
2012,млн.тонн,г.Алматы,168.3065
2013,млн.тонн,г.Алматы,194.412
2014,млн.тонн,г.Алматы,216.8484
2015,млн.тонн,г.Алматы,232.0866
2016,млн.тонн,г.Алматы,252.2656
2017,млн.тонн,г.Алматы,256.0017
2018,млн.тонн,г.Алматы,255.73716000000002
2018,млн.тонн,г.Шымкент,116.32101
2010,млн.тонн,"Объем, не распределенный по областям",375.3236
2011,млн.тонн,"Объем, не распределенный по областям",399.3945
2012,млн.тонн,"Объем, не распределенный по областям",414.0783
2013,млн.тонн,"Объем, не распределенный по областям",418.282
2014,млн.тонн,"Объем, не распределенный по областям",511.3469
2015,млн.тонн,"Объем, не распределенный по областям",453.79609999999997
2016,млн.тонн,"Объем, не распределенный по областям",441.44493
2017,млн.тонн,"Объем, не распределенный по областям",496.7663
2018,млн.тонн,"Объем, не распределенный по областям",520.929
2010,млн.тонн,,13186.4941
2011,млн.тонн,,16647.1626
2012,млн.тонн,,18484.6485
2013,млн.тонн,,20004.2963
2014,млн.тонн,,21281.165100000002
2015,млн.тонн,,21839.1375
2016,млн.тонн,,22332.7906
2017,млн.тонн,,22744.7
2018,млн.тонн,,23021.597670000003
2010,млн.тонн,Акмолинская,1057.8989
2011,млн.тонн,Акмолинская,1385.7958999999998
2012,млн.тонн,Акмолинская,1482.0797
2013,млн.тонн,Акмолинская,1604.4809
2014,млн.тонн,Акмолинская,1723.9165
2015,млн.тонн,Акмолинская,1729.4592
2016,млн.тонн,Акмолинская,1700.0768999999998
2017,млн.тонн,Акмолинская,1643.88891
2018,млн.тонн,Акмолинская,1652.1816999999999
2010,млн.тонн,Актюбинская,163.5094
2011,млн.тонн,Актюбинская,199.3162
2012,млн.тонн,Актюбинская,220.087
2013,млн.тонн,Актюбинская,238.3837
2014,млн.тонн,Актюбинская,251.04160000000002
2015,млн.тонн,Актюбинская,264.71320000000003
2016,млн.тонн,Актюбинская,278.4214
2017,млн.тонн,Актюбинская,294.68460999999996
2018,млн.тонн,Актюбинская,304.33635
2010,млн.тонн,Алматинская,436.6198
2011,млн.тонн,Алматинская,550.8759
2012,млн.тонн,Алматинская,597.1945999999999
2013,млн.тонн,Алматинская,628.9567
2014,млн.тонн,Алматинская,654.3485
2015,млн.тонн,Алматинская,706.7371999999999
2016,млн.тонн,Алматинская,808.2825
2017,млн.тонн,Алматинская,872.9694300000001
2018,млн.тонн,Алматинская,882.34441
2010,млн.тонн,Атырауская,95.3865
2011,млн.тонн,Атырауская,126.935
2012,млн.тонн,Атырауская,155.4183
2013,млн.тонн,Атырауская,167.9207
2014,млн.тонн,Атырауская,172.0829
2015,млн.тонн,Атырауская,171.99110000000002
2016,млн.тонн,Атырауская,181.0197
2018,млн.тонн,Атырауская,181.6095
2010,млн.тонн,Западно-Казахстанская,270.428
2011,млн.тонн,Западно-Казахстанская,364.768
2012,млн.тонн,Западно-Казахстанская,402.3381
2013,млн.тонн,Западно-Казахстанская,425.75759999999997
2014,млн.тонн,Западно-Казахстанская,428.3103
2015,млн.тонн,Западно-Казахстанская,436.3374
2016,млн.тонн,Западно-Казахстанская,434.3315
2017,млн.тонн,Западно-Казахстанская,451.51746
2018,млн.тонн,Западно-Казахстанская,424.6046
2010,млн.тонн,Жамбылская,570.5845
2011,млн.тонн,Жамбылская,745.8124
2012,млн.тонн,Жамбылская,802.7956999999999
2013,млн.тонн,Жамбылская,864.5943000000001
2014,млн.тонн,Жамбылская,882.5405999999999
2015,млн.тонн,Жамбылская,929.4778
2016,млн.тонн,Жамбылская,957.2865
2017,млн.тонн,Жамбылская,957.34209
2018,млн.тонн,Жамбылская,987.36822
2010,млн.тонн,Карагандинская,1440.6618999999998
2011,млн.тонн,Карагандинская,1993.3222
2012,млн.тонн,Карагандинская,2111.422
2013,млн.тонн,Карагандинская,2299.8505
2014,млн.тонн,Карагандинская,2428.7441
2015,млн.тонн,Карагандинская,2421.1872999999996
2016,млн.тонн,Карагандинская,2418.1113
2018,млн.тонн,Карагандинская,2428.09324
2010,млн.тонн,Костанайская,1153.3571000000002
2011,млн.тонн,Костанайская,1436.4622
2012,млн.тонн,Костанайская,1575.5291000000002
2013,млн.тонн,Костанайская,1657.3538999999998
2014,млн.тонн,Костанайская,1752.0465
2015,млн.тонн,Костанайская,1745.1796000000002
2016,млн.тонн,Костанайская,1751.732
2017,млн.тонн,Костанайская,1796.55025
2018,млн.тонн,Костанайская,1805.54943
2010,млн.тонн,Кызылординская,139.7043
2011,млн.тонн,Кызылординская,193.2167
2012,млн.тонн,Кызылординская,232.36860000000001
2013,млн.тонн,Кызылординская,251.3166
2014,млн.тонн,Кызылординская,282.066
2015,млн.тонн,Кызылординская,298.0711
2016,млн.тонн,Кызылординская,335.4689
2017,млн.тонн,Кызылординская,367.48217999999997
2018,млн.тонн,Кызылординская,397.44738
2010,млн.тонн,Мангистауская,60.2485
2011,млн.тонн,Мангистауская,73.79469999999999
2012,млн.тонн,Мангистауская,81.469
2013,млн.тонн,Мангистауская,85.4807
2014,млн.тонн,Мангистауская,85.5305
2015,млн.тонн,Мангистауская,85.31269999999999
2016,млн.тонн,Мангистауская,84.8014
2017,млн.тонн,Мангистауская,88.77477999999999
2018,млн.тонн,Мангистауская,89.28696000000001
2010,млн.тонн,Южно-Казахстанская,1337.6321
2011,млн.тонн,Южно-Казахстанская,1800.5131999999999
2012,млн.тонн,Южно-Казахстанская,2149.8955
2013,млн.тонн,Южно-Казахстанская,2257.6409
2014,млн.тонн,Южно-Казахстанская,2262.5458
2015,млн.тонн,Южно-Казахстанская,2347.3653
2016,млн.тонн,Южно-Казахстанская,2478.4727000000003
2017,млн.тонн,Южно-Казахстанская,2607.55932
2010,млн.тонн,Павлодарская,798.2521999999999
2011,млн.тонн,Павлодарская,1044.0959
2012,млн.тонн,Павлодарская,1166.3121999999998
2013,млн.тонн,Павлодарская,1194.5999
2014,млн.тонн,Павлодарская,1195.6336999999999
2015,млн.тонн,Павлодарская,1240.8
2016,млн.тонн,Павлодарская,1244.4928
2017,млн.тонн,Павлодарская,1225.0471499999999
2018,млн.тонн,Павлодарская,1233.9865300000001
2010,млн.тонн,Северо-Казахстанская,365.4984
2011,млн.тонн,Северо-Казахстанская,453.9025
2012,млн.тонн,Северо-Казахстанская,470.6909
2013,млн.тонн,Северо-Казахстанская,492.80159999999995
2014,млн.тонн,Северо-Казахстанская,496.0558
2015,млн.тонн,Северо-Казахстанская,495.21
2016,млн.тонн,Северо-Казахстанская,506.7977
2017,млн.тонн,Северо-Казахстанская,501.64852
2018,млн.тонн,Северо-Казахстанская,507.39833000000004
2018,млн.тонн,Туркестанская,820.61421
2010,млн.тонн,Восточно-Казахстанская,1272.7241999999999
2011,млн.тонн,Восточно-Казахстанская,1419.3383999999999
2012,млн.тонн,Восточно-Казахстанская,1459.8789
2013,млн.тонн,Восточно-Казахстанская,1606.7478999999998
2014,млн.тонн,Восточно-Казахстанская,1654.1839
2015,млн.тонн,Восточно-Казахстанская,1680.9931000000001
2016,млн.тонн,Восточно-Казахстанская,1705.1507
2017,млн.тонн,Восточно-Казахстанская,1709.15771
2018,млн.тонн,Восточно-Казахстанская,1714.9086499999999
2010,млн.тонн,г.Нур-Султан,1408.8999
2011,млн.тонн,г.Нур-Султан,1647.9137
2012,млн.тонн,г.Нур-Султан,1750.0521
2013,млн.тонн,г.Нур-Султан,1961.0055
2014,млн.тонн,г.Нур-Султан,2180.2918
2015,млн.тонн,г.Нур-Султан,2279.047
2016,млн.тонн,г.Нур-Султан,2441.0568
2018,млн.тонн,г.Нур-Султан,2558.04555
2010,млн.тонн,г.Алматы,2595.527
2011,млн.тонн,г.Алматы,3190.5865
2012,млн.тонн,г.Алматы,3802.7637999999997
2013,млн.тонн,г.Алматы,4238.824799999999
2014,млн.тонн,г.Алматы,4808.5978
2015,млн.тонн,г.Алматы,4984.7576
2016,млн.тонн,г.Алматы,4984.2147
2017,млн.тонн,г.Алматы,5097.16986
2018,млн.тонн,г.Алматы,5202.37274
2018,млн.тонн,г.Шымкент,1808.63645
2010,млн.тонн,"Объем, не распределенный по областям",19.561399999998685
2011,млн.тонн,"Объем, не распределенный по областям",20.513199999997596
2012,млн.тонн,"Объем, не распределенный по областям",24.352999999999156
2013,млн.тонн,"Объем, не распределенный по областям",28.580100000002858
2014,млн.тонн,"Объем, не распределенный по областям",23.228800000000774
2015,млн.тонн,"Объем, не распределенный по областям",22.49790000000212
2016,млн.тонн,"Объем, не распределенный по областям",23.073100000001432
2017,млн.тонн,"Объем, не распределенный по областям",22.9143
2018,млн.тонн,"Объем, не распределенный по областям",22.8134
2010,млн.тонн,,1971.77081
2011,млн.тонн,,2475.46041
2012,млн.тонн,,2718.43909
2013,млн.тонн,,2983.35009
2014,млн.тонн,,3129.1097
2015,млн.тонн,,3174.0218
2016,млн.тонн,,3180.6557000000003
2017,млн.тонн,,3322.3
2018,млн.тонн,,3422.2769399999997
2010,млн.тонн,Акмолинская,95.84778999999999
2011,млн.тонн,Акмолинская,112.3756
2012,млн.тонн,Акмолинская,112.59375999999999
2013,млн.тонн,Акмолинская,121.52507000000001
2014,млн.тонн,Акмолинская,121.2567
2015,млн.тонн,Акмолинская,120.29
2016,млн.тонн,Акмолинская,113.1055
2017,млн.тонн,Акмолинская,116.1388
2018,млн.тонн,Акмолинская,126.53205
2010,млн.тонн,Актюбинская,40.97257
2011,млн.тонн,Актюбинская,54.52478
2012,млн.тонн,Актюбинская,58.050489999999996
2013,млн.тонн,Актюбинская,62.173300000000005
2014,млн.тонн,Актюбинская,63.6389
2015,млн.тонн,Актюбинская,70.0716
2016,млн.тонн,Актюбинская,76.3227
2017,млн.тонн,Актюбинская,76.82260000000001
2018,млн.тонн,Актюбинская,79.12997999999999
2010,млн.тонн,Алматинская,116.61975
2011,млн.тонн,Алматинская,142.69432999999998
2012,млн.тонн,Алматинская,158.06611999999998
2013,млн.тонн,Алматинская,159.00998
2014,млн.тонн,Алматинская,159.913
2015,млн.тонн,Алматинская,167.2421
2016,млн.тонн,Алматинская,178.9613
2017,млн.тонн,Алматинская,181.0825
2018,млн.тонн,Алматинская,184.52489000000003
2010,млн.тонн,Атырауская,52.14737
2011,млн.тонн,Атырауская,71.46303
2012,млн.тонн,Атырауская,72.35414
2013,млн.тонн,Атырауская,82.59600999999999
2014,млн.тонн,Атырауская,82.1336
2015,млн.тонн,Атырауская,75.7217
2016,млн.тонн,Атырауская,74.95530000000001
2017,млн.тонн,Атырауская,75.89789999999999
2018,млн.тонн,Атырауская,59.850120000000004
2010,млн.тонн,Западно-Казахстанская,30.02608
2011,млн.тонн,Западно-Казахстанская,33.808519999999994
2012,млн.тонн,Западно-Казахстанская,35.678650000000005
2013,млн.тонн,Западно-Казахстанская,38.786660000000005
2014,млн.тонн,Западно-Казахстанская,39.8651
2015,млн.тонн,Западно-Казахстанская,39.4646
2016,млн.тонн,Западно-Казахстанская,39.4086
2017,млн.тонн,Западно-Казахстанская,39.257
2018,млн.тонн,Западно-Казахстанская,39.46102
2010,млн.тонн,Жамбылская,55.954519999999995
2011,млн.тонн,Жамбылская,70.45802
2012,млн.тонн,Жамбылская,80.38894
2013,млн.тонн,Жамбылская,88.36992
2014,млн.тонн,Жамбылская,88.9071
2015,млн.тонн,Жамбылская,91.3309
2016,млн.тонн,Жамбылская,91.2506
2017,млн.тонн,Жамбылская,100.1437
2018,млн.тонн,Жамбылская,103.47242999999999
2010,млн.тонн,Карагандинская,443.96474
2011,млн.тонн,Карагандинская,551.1137
2012,млн.тонн,Карагандинская,619.68872
2013,млн.тонн,Карагандинская,676.65488
2014,млн.тонн,Карагандинская,719.1646
2015,млн.тонн,Карагандинская,709.863
2016,млн.тонн,Карагандинская,727.4763
2017,млн.тонн,Карагандинская,795.5184
2018,млн.тонн,Карагандинская,825.63185
2010,млн.тонн,Костанайская,221.50981
2011,млн.тонн,Костанайская,268.02796
2012,млн.тонн,Костанайская,275.56246000000004
2013,млн.тонн,Костанайская,299.65301
2014,млн.тонн,Костанайская,297.3363
2015,млн.тонн,Костанайская,294.8958
2016,млн.тонн,Костанайская,277.25890000000004
2017,млн.тонн,Костанайская,291.5305
2018,млн.тонн,Костанайская,297.05128
2010,млн.тонн,Кызылординская,66.32433999999999
2011,млн.тонн,Кызылординская,95.51799000000001
2012,млн.тонн,Кызылординская,98.38552
2013,млн.тонн,Кызылординская,106.13531
2014,млн.тонн,Кызылординская,107.1732
2015,млн.тонн,Кызылординская,108.67989999999999
2016,млн.тонн,Кызылординская,104.2945
2017,млн.тонн,Кызылординская,104.6007
2018,млн.тонн,Кызылординская,104.54127
2010,млн.тонн,Мангистауская,136.89491
2011,млн.тонн,Мангистауская,182.02755
2012,млн.тонн,Мангистауская,203.68564999999998
2013,млн.тонн,Мангистауская,211.08514000000002
2014,млн.тонн,Мангистауская,213.995
2015,млн.тонн,Мангистауская,225.33720000000002
2016,млн.тонн,Мангистауская,216.35139999999998
2017,млн.тонн,Мангистауская,236.4546
2018,млн.тонн,Мангистауская,236.09535
2010,млн.тонн,Южно-Казахстанская,77.46877
2011,млн.тонн,Южно-Казахстанская,106.50417999999999
2012,млн.тонн,Южно-Казахстанская,123.84783999999999
2013,млн.тонн,Южно-Казахстанская,133.03631
2014,млн.тонн,Южно-Казахстанская,145.40779999999998
2015,млн.тонн,Южно-Казахстанская,154.9654
2016,млн.тонн,Южно-Казахстанская,158.74620000000002
2010,млн.тонн,Павлодарская,57.84632
2011,млн.тонн,Павлодарская,70.22057000000001
2012,млн.тонн,Павлодарская,76.59103
2013,млн.тонн,Павлодарская,83.25099
2014,млн.тонн,Павлодарская,91.8034
2015,млн.тонн,Павлодарская,93.554
2016,млн.тонн,Павлодарская,97.68
2017,млн.тонн,Павлодарская,88.61210000000001
2018,млн.тонн,Павлодарская,90.44709
2010,млн.тонн,Северо-Казахстанская,39.99885
2011,млн.тонн,Северо-Казахстанская,46.00747
2012,млн.тонн,Северо-Казахстанская,46.09193
2013,млн.тонн,Северо-Казахстанская,49.266059999999996
2014,млн.тонн,Северо-Казахстанская,49.894400000000005
2015,млн.тонн,Северо-Казахстанская,49.6684
2016,млн.тонн,Северо-Казахстанская,48.1812
2017,млн.тонн,Северо-Казахстанская,51.363
2018,млн.тонн,Северо-Казахстанская,51.46394
2018,млн.тонн,Туркестанская,70.98138
2010,млн.тонн,Восточно-Казахстанская,327.07152
2011,млн.тонн,Восточно-Казахстанская,417.93773
2012,млн.тонн,Восточно-Казахстанская,476.57966999999996
2013,млн.тонн,Восточно-Казахстанская,553.30106
2014,млн.тонн,Восточно-Казахстанская,595.1364
2015,млн.тонн,Восточно-Казахстанская,598.3322
2016,млн.тонн,Восточно-Казахстанская,581.861
2017,млн.тонн,Восточно-Казахстанская,600.2448
2018,млн.тонн,Восточно-Казахстанская,627.92383
2010,млн.тонн,г.Нур-Султан,66.7086
2011,млн.тонн,г.Нур-Султан,97.22507
2012,млн.тонн,г.Нур-Султан,112.58867
2013,млн.тонн,г.Нур-Султан,124.11701
2014,млн.тонн,г.Нур-Султан,136.6535
2015,млн.тонн,г.Нур-Султан,142.5343
2016,млн.тонн,г.Нур-Султан,142.55360000000002
2018,млн.тонн,г.Нур-Султан,153.14064000000002
2010,млн.тонн,г.Алматы,142.41484
2011,млн.тонн,г.Алматы,155.5539
2012,млн.тонн,г.Алматы,168.28551000000002
2013,млн.тонн,г.Алматы,194.38938000000002
2014,млн.тонн,г.Алматы,216.8306
2015,млн.тонн,г.Алматы,232.07070000000002
2016,млн.тонн,г.Алматы,252.2488
2017,млн.тонн,г.Алматы,254.4981
2018,млн.тонн,г.Алматы,255.7115
2018,млн.тонн,г.Шымкент,116.31831
2010,млн.тонн,,28869.7
2011,млн.тонн,,31554.9
2012,млн.тонн,,21954.2
2013,млн.тонн,,23873.5
2014,млн.тонн,,19082.4
2015,млн.тонн,,17178.2
2016,млн.тонн,,18015.9
2017,млн.тонн,,22449.9
2018,млн.тонн,,29135.5
2012,млн.тонн,Западно-Казахстанская,183.0
2013,млн.тонн,Западно-Казахстанская,227.2
2014,млн.тонн,Западно-Казахстанская,239.4
2015,млн.тонн,Западно-Казахстанская,131.0
2018,млн.тонн,Западно-Казахстанская,793.0
2010,млн.тонн,Карагандинская,9.2
2011,млн.тонн,Карагандинская,6.6
2010,млн.тонн,Южно-Казахстанская,737.0
2011,млн.тонн,Южно-Казахстанская,583.0
2012,млн.тонн,Южно-Казахстанская,768.0
2010,млн.тонн,Восточно-Казахстанская,32.5
2011,млн.тонн,Восточно-Казахстанская,44.0
2012,млн.тонн,Восточно-Казахстанская,5.8
2013,млн.тонн,Восточно-Казахстанская,1062.0
2014,млн.тонн,Восточно-Казахстанская,978.0
2010,млн.тонн,г.Алматы,28091.0
2011,млн.тонн,г.Алматы,30921.3
2012,млн.тонн,г.Алматы,20997.4
2013,млн.тонн,г.Алматы,22584.3
2014,млн.тонн,г.Алматы,17865.0
2015,млн.тонн,г.Алматы,15956.2
2016,млн.тонн,г.Алматы,16810.9
2017,млн.тонн,г.Алматы,20345.2
2018,млн.тонн,г.Алматы,25651.2
2018,млн.тонн,г.Шымкент,2691.3
2010,млн.тонн,г.Нур-Султан,3379.2
2011,млн.тонн,г.Нур-Султан,4131.3
2012,млн.тонн,г.Нур-Султан,4512.0
2013,млн.тонн,г.Нур-Султан,4985.6
2014,млн.тонн,г.Нур-Султан,5434.6
2015,млн.тонн,г.Нур-Султан,5922.8
2016,млн.тонн,г.Нур-Султан,6021.7
2017,млн.тонн,г.Нур-Султан,7363.73
2018,млн.тонн,г.Нур-Султан,7858.53
2010,млн.тонн,Алматинская,29.3
2011,млн.тонн,Алматинская,27.8
2012,млн.тонн,Алматинская,30.0
2013,млн.тонн,Алматинская,25.5
2014,млн.тонн,Алматинская,28.5
2015,млн.тонн,Алматинская,25.2
2016,млн.тонн,Алматинская,16.2
2017,млн.тонн,Алматинская,10.56
2018,млн.тонн,Алматинская,7.6
2010,млн.тонн,Атырауская,4.7
2011,млн.тонн,Атырауская,0.8
2012,млн.тонн,Атырауская,0.4
2015,млн.тонн,Атырауская,4.3
2016,млн.тонн,Атырауская,0.1
2017,млн.тонн,Атырауская,0.16
2018,млн.тонн,Атырауская,0.01
2010,млн.тонн,Карагандинская,18.8
2011,млн.тонн,Карагандинская,12.2
2012,млн.тонн,Карагандинская,59.7
2013,млн.тонн,Карагандинская,10.0
2014,млн.тонн,Карагандинская,8.5
2018,млн.тонн,Карагандинская,7.95
2012,млн.тонн,Западно-Казахстанская,7.2
2013,млн.тонн,Западно-Казахстанская,140.1
2014,млн.тонн,Западно-Казахстанская,354.7
2015,млн.тонн,Западно-Казахстанская,332.4
2018,млн.тонн,Западно-Казахстанская,910.11
2011,млн.тонн,Мангистауская,23.8
2010,млн.тонн,Южно-Казахстанская,668.5
2011,млн.тонн,Южно-Казахстанская,900.2
2012,млн.тонн,Южно-Казахстанская,1095.8
2013,млн.тонн,Южно-Казахстанская,1109.6
2014,млн.тонн,Южно-Казахстанская,1254.7
2015,млн.тонн,Южно-Казахстанская,1224.7
2016,млн.тонн,Южно-Казахстанская,1288.9
2017,млн.тонн,Южно-Казахстанская,1931.83
2010,млн.тонн,Павлодарская,4.0
2011,млн.тонн,Павлодарская,0.8
2010,млн.тонн,Восточно-Казахстанская,16.1
2011,млн.тонн,Восточно-Казахстанская,17.2
2012,млн.тонн,Восточно-Казахстанская,5.1
2010,млн.тонн,г.Нур-Султан,14.8
2011,млн.тонн,г.Нур-Султан,24.2
2012,млн.тонн,г.Нур-Султан,5.5
2013,млн.тонн,г.Нур-Султан,1.3
2014,млн.тонн,г.Нур-Султан,1.4
2015,млн.тонн,г.Нур-Султан,5.2
2016,млн.тонн,г.Нур-Султан,34.6
2017,млн.тонн,г.Нур-Султан,33.15
2018,млн.тонн,г.Нур-Султан,31.08
2010,млн.тонн,г.Алматы,2623.1
2011,млн.тонн,г.Алматы,3124.3
2012,млн.тонн,г.Алматы,3308.3
2013,млн.тонн,г.Алматы,3699.1
2014,млн.тонн,г.Алматы,3786.8
2015,млн.тонн,г.Алматы,4324.4
2016,млн.тонн,г.Алматы,3945.5
2017,млн.тонн,г.Алматы,4467.04
2018,млн.тонн,г.Алматы,4694.37
2018,млн.тонн,г.Шымкент,2207.41
2010,млн.тонн,,193.9595
2011,млн.тонн,,214.079
2012,млн.тонн,,213.2221
2013,млн.тонн,,225.91570000000002
2014,млн.тонн,,225.0191
2015,млн.тонн,,214.643
2016,млн.тонн,,205.82760000000002
2017,млн.тонн,,232.81463
2018,млн.тонн,,280.76336
2010,млн.тонн,Атырауская,66.3373
2011,млн.тонн,Атырауская,68.1127
2012,млн.тонн,Атырауская,68.24289999999999
2013,млн.тонн,Атырауская,68.7483
2014,млн.тонн,Атырауская,69.0231
2015,млн.тонн,Атырауская,68.63719999999999
2016,млн.тонн,Атырауская,70.138
2017,млн.тонн,Атырауская,78.26332000000001
2018,млн.тонн,Атырауская,113.94909
2010,млн.тонн,Павлодарская,20.155
2011,млн.тонн,Павлодарская,26.2849
2012,млн.тонн,Павлодарская,25.7207
